draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_20_rep_tru,pre_20_dem_bid,adv_20,arv_20,county_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
12,1,893807, 1,0.6012,711342,0.003401876,0.908,0.10489,778645,45499,21108,1745, 6553,160,2635,37462,628948,36580,13890,1481,5396,129,1628,23290,274244,117232,117232,274244,0,117232,274244,0.2995,0.2995,0,0,0,0.104
12,2,899909, 1,0.6012,721590,0.003401876,0.908,0.14331,820189,19250,13719,1442, 8350,269,2017,34673,664092,15422, 9593,1280,6837,204,1353,22809,271138,118752,118752,271138,0,118752,271138,0.3046,0.3046,0,0,0,0.104
13,1,898912, 1,0.9076,716275,0.002290218,0.948,0.25930,807571,35467,11343,1639, 6426,150,2194,34122,650394,28077, 7820,1434,5246,118,1336,21850,272868,114117,114117,272868,0,114117,272868,0.2949,0.2949,0,0,0,0.104
13,2,894804, 1,0.9076,716657,0.002290218,0.948,0.15729,791263,29282,23484,1548, 8477,279,2458,38013,642646,23925,15663,1327,6987,215,1645,24249,272514,121867,121867,272514,0,121867,272514,0.3090,0.3090,0,0,0,0.104
14,1,898368, 1,0.9919,717393,0.001683656,0.944,0.33379,807650,36280,11354,1631, 6151,160,2131,33011,651401,28986, 7868,1425,5046,123,1289,21255,274390,112713,112713,274390,0,112713,274390,0.2912,0.2912,0,0,0,0.104
14,2,895348, 1,0.9919,715539,0.001683656,0.944,0.13367,791184,28469,23473,1556, 8752,269,2521,39124,641639,23016,15615,1336,7187,210,1692,24844,270992,123271,123271,270992,0,123271,270992,0.3127,0.3127,0,0,0,0.104
15,1,899088, 1,0.9827,717557,0.002486458,0.948,0.36685,808167,36279,11358,1621, 6181,160,2121,33201,651433,28981, 7874,1422,5069,123,1279,21376,273628,112618,112618,273628,0,112618,273628,0.2916,0.2916,0,0,0,0.104
15,2,894628, 1,0.9827,715375,0.002486458,0.948,0.13474,790667,28470,23469,1566, 8722,269,2531,38934,641607,23021,15609,1339,7164,210,1702,24723,271754,123366,123366,271754,0,123366,271754,0.3122,0.3122,0,0,0,0.104
16,1,896260, 1,0.8882,714496,0.000666772,0.928,0.24667,804691,35990,11447,1602, 6447,159,2163,33761,648195,28640, 7898,1410,5265,125,1335,21628,271814,113135,113135,271814,0,113135,271814,0.2939,0.2939,0,0,0,0.104
16,2,897456, 1,0.8882,718436,0.000666772,0.928,0.12869,794143,28759,23380,1585, 8456,270,2489,38374,644845,23362,15585,1351,6968,208,1646,24471,273568,122849,122849,273568,0,122849,273568,0.3099,0.3099,0,0,0,0.104
17,1,893197, 1,0.8865,712317,0.004082029,0.936,0.20099,804509,33979,11094,1598, 6392,169,2115,33341,648428,26850, 7629,1407,5220,135,1290,21358,274163,112364,112364,274163,0,112364,274163,0.2907,0.2907,0,0,0,0.104
17,2,900519, 1,0.8865,720615,0.004082029,0.936,0.12644,794325,30770,23733,1589, 8511,260,2537,38794,644612,25152,15854,1354,7013,198,1691,24741,271219,123620,123620,271219,0,123620,271219,0.3131,0.3131,0,0,0,0.104
18,1,893894, 1,0.9798,713446,0.003304871,0.944,0.36608,803168,36273,11336,1617, 6181,156,2113,33050,647456,28981, 7861,1420,5069,119,1271,21269,271494,112152,112152,271494,0,112152,271494,0.2923,0.2923,0,0,0,0.104
18,2,899822, 1,0.9798,719486,0.003304871,0.944,0.13906,795666,28476,23491,1570, 8722,273,2539,39085,645584,23021,15622,1341,7164,214,1710,24830,273888,123832,123832,273888,0,123832,273888,0.3114,0.3114,0,0,0,0.104
19,1,899549, 1,0.9829,717804,0.003000475,0.944,0.27782,809596,35407,11221,1633, 6160,160,2145,33227,652711,28101, 7724,1427,5050,123,1295,21373,274511,113066,113066,274511,0,113066,274511,0.2917,0.2917,0,0,0,0.104
19,2,894167, 1,0.9829,715128,0.003000475,0.944,0.12358,789238,29342,23606,1554, 8743,269,2507,38908,640329,23901,15759,1334,7183,210,1686,24726,270871,122918,122918,270871,0,122918,270871,0.3121,0.3121,0,0,0,0.104
20,1,898912, 1,0.9076,716275,0.002290218,0.948,0.25930,807571,35467,11343,1639, 6426,150,2194,34122,650394,28077, 7820,1434,5246,118,1336,21850,272868,114117,114117,272868,0,114117,272868,0.2949,0.2949,0,0,0,0.104
20,2,894804, 1,0.9076,716657,0.002290218,0.948,0.15729,791263,29282,23484,1548, 8477,279,2458,38013,642646,23925,15663,1327,6987,215,1645,24249,272514,121867,121867,272514,0,121867,272514,0.3090,0.3090,0,0,0,0.104
21,1,900467, 1,0.8812,717765,0.004024048,0.940,0.26470,808720,35999,11464,1621, 6414,163,2177,33909,651396,28650, 7893,1430,5242,130,1346,21678,273560,113638,113638,273560,0,113638,273560,0.2935,0.2935,0,0,0,0.104
21,2,893249, 1,0.8812,715167,0.004024048,0.940,0.13303,790114,28750,23363,1566, 8489,266,2475,38226,641644,23352,15590,1331,6991,203,1635,24421,271822,122346,122346,271822,0,122346,271822,0.3104,0.3104,0,0,0,0.104
22,1,892765, 1,0.9042,711389,0.004563710,0.948,0.32042,801808,35367,11297,1625, 6427,152,2166,33923,645778,28003, 7774,1429,5251,118,1323,21713,270164,113340,113340,270164,0,113340,270164,0.2955,0.2955,0,0,0,0.104
22,2,900951, 1,0.9042,721543,0.004563710,0.948,0.14599,797026,29382,23530,1562, 8476,277,2486,38212,647262,23999,15709,1332,6982,215,1658,24386,275218,122644,122644,275218,0,122644,275218,0.3083,0.3083,0,0,0,0.104
23,1,893718, 1,0.9047,712164,0.003501112,0.944,0.24603,802572,35461,11321,1635, 6426,146,2186,33971,646417,28077, 7807,1432,5246,114,1328,21743,270734,113651,113651,270734,0,113651,270734,0.2957,0.2957,0,0,0,0.104
23,2,899998, 1,0.9047,720768,0.003501112,0.944,0.15675,796262,29288,23506,1552, 8477,283,2466,38164,646623,23925,15676,1329,6987,219,1653,24356,274648,122333,122333,274648,0,122333,274648,0.3082,0.3082,0,0,0,0.104
24,1,899088, 1,0.9827,717557,0.002486458,0.948,0.36685,808167,36279,11358,1621, 6181,160,2121,33201,651433,28981, 7874,1422,5069,123,1279,21376,273628,112618,112618,273628,0,112618,273628,0.2916,0.2916,0,0,0,0.104
24,2,894628, 1,0.9827,715375,0.002486458,0.948,0.13474,790667,28470,23469,1566, 8722,269,2531,38934,641607,23021,15609,1339,7164,210,1702,24723,271754,123366,123366,271754,0,123366,271754,0.3122,0.3122,0,0,0,0.104
25,1,892571, 1,0.8768,711279,0.004780021,0.948,0.27555,801578,35426,11320,1624, 6394,152,2182,33895,645680,28064, 7765,1428,5219,119,1337,21667,271502,113030,113030,271502,0,113030,271502,0.2939,0.2939,0,0,0,0.104
25,2,901145, 1,0.8768,721653,0.004780021,0.948,0.14561,797256,29323,23507,1563, 8509,277,2470,38240,647360,23938,15718,1333,7014,214,1644,24432,273880,122954,122954,273880,0,122954,273880,0.3098,0.3098,0,0,0,0.104
26,1,900018, 1,0.9082,717365,0.003523412,0.936,0.27433,808748,35411,11360,1640, 6450,159,2173,34077,651523,28049, 7815,1446,5274,125,1329,21804,272150,114331,114331,272150,0,114331,272150,0.2958,0.2958,0,0,0,0.104
26,2,893698, 1,0.9082,715567,0.003523412,0.936,0.12846,790086,29338,23467,1547, 8453,270,2479,38058,641517,23953,15668,1315,6959,208,1652,24295,273232,121653,121653,273232,0,121653,273232,0.3081,0.3081,0,0,0,0.104
27,1,899088, 1,0.9827,717557,0.002486458,0.948,0.36685,808167,36279,11358,1621, 6181,160,2121,33201,651433,28981, 7874,1422,5069,123,1279,21376,273628,112618,112618,273628,0,112618,273628,0.2916,0.2916,0,0,0,0.104
27,2,894628, 1,0.9827,715375,0.002486458,0.948,0.13474,790667,28470,23469,1566, 8722,269,2531,38934,641607,23021,15609,1339,7164,210,1702,24723,271754,123366,123366,271754,0,123366,271754,0.3122,0.3122,0,0,0,0.104
