draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
7,2,551103, 1,0.7379,453500,0.0043986626,0.9827,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
8,1,548417, 1,0.7098,444747,0.0004966379,0.9489,0.1248, 73654,395046,26352,1957,14263,174,7047,29924, 50342,336677,19717,1451,11525,130,5255,19650,129747, 86686,118682,69322,105612,62404,138038,126045,57036,160852, 95147,169026, 79301, 86686,129747,62921,122094, 87224,164939,3,3,135429, 74982,0.6436,0.6428,1.0000,2.000,0,-0.25606
8,2,548962, 1,0.7098,442847,0.0004966379,0.9489,0.2199,108447,359004,29034,1556,24104,146,4345,22326, 75646,305758,22207,1248,19887,125,3198,14778,122778, 93856,112795,75098, 92510,77529,136313,121231,62256,146634,104775,159547, 85554, 93856,122778,71628,115712, 95165,153090,3,3,127401, 83179,0.6050,0.6010,1.0000,2.000,0,-0.25606
9,1,547098, 1,0.7265,434950,0.0029005476,0.9814,0.4351,139082,303264,42044,1602,21795,168,8613,30530, 96413,260441,31265,1208,18392,128,6411,20692,117329, 68578,102108,51828, 88473,50273,116064,107546,42604,134279, 78013,141611, 61655, 68578,117329,48236,103548, 69835,137946,1,2,115344, 58825,0.6623,0.6629,1.0000,2.000,0,-0.25606
9,2,550281, 1,0.7265,452644,0.0029005476,0.9814,0.3658, 43019,450786,13342,1911,16572,152,2779,21720, 29575,381994,10659,1491,13020,127,2042,13736,135196,111963,129369,92592,109649,89660,158286,139730,76689,173206,121909,186962,103200,111963,135196,86313,134258,112555,180083,1,2,147486, 99336,0.5975,0.5928,1.0000,2.000,0,-0.25606
10,1,549330, 1,0.6412,439002,0.0011673269,0.9671,0.4191,120384,330533,38365,1485,20089,162,8099,30213, 83331,282299,28569,1119,17104,124,6019,20437,115821, 78775,102528,60226, 87780,58706,119598,109104,49823,135289, 89150,144277, 71543, 78775,115821,56252,104752, 80348,139783,2,3,116343, 68037,0.6310,0.6304,1.0000,2.000,0,-0.25606
10,2,548049, 1,0.6412,448592,0.0011673269,0.9671,0.2797, 61717,423517,17021,2028,18278,158,3293,22037, 42657,360136,13355,1580,14308,131,2434,13991,136704,101767,128950,84195,110342,81227,154752,138172,69470,172197,110772,184296, 93311,101767,136704,78297,133054,102042,178246,2,3,146488, 90124,0.6191,0.6153,1.0000,2.000,0,-0.25606
11,1,548792, 1,0.6340,435487,0.0001868088,0.9740,0.4227,145140,300175,41044,1608,24844,153,7667,28161,100657,257433,30742,1235,20691,117,5639,18973,118213, 70222,103171,53814, 88073,54590,117937,108479,44678,134454, 80168,142635, 63492, 70222,118213,51028,104414, 71831,138545,1,3,116137, 61160,0.6550,0.6548,1.0000,2.000,0,-0.25606
11,2,548587, 1,0.6340,452107,0.0001868088,0.9740,0.2820, 36961,453875,14342,1905,13523,167,3725,24089, 25331,385002,11182,1464,10721,138,2814,15455,134312,110320,128306,90607,110050,85343,156413,138797,74615,173032,119754,185938,101363,110320,134312,83521,133392,110559,179484,1,3,146693, 97001,0.6020,0.5978,1.0000,2.000,0,-0.25606
12,1,551413, 1,0.7304,438235,0.0049636452,0.9810,0.4244,141528,304087,42658,1627,21942,168,8674,30729, 98190,261144,31755,1230,18512,128,6455,20821,118364, 68672,102905,51883, 89161,50361,116795,108315,42657,135222, 78248,142559, 61808, 68672,118364,48301,104294, 70029,138891,1,2,116189, 58938,0.6635,0.6642,1.0000,2.000,0,-0.25606
