draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
1552,1,549943, 1,0.5294,442280,0.0022845343,0.9658,0.2322,127200,319686,41258,1665,23534,152,7437,29011, 89294,275853,31192,1310,19269,125,5546,19691,131551, 70827,116851,56192, 99523,57561,132321,122804,46043,153292, 78643,161526, 63016, 70827,131551,53266,117874, 70830,157409,4,2,131124, 62047,0.6788,0.6777,1.0000,2.000,0,-0.25606
1552,2,547436, 1,0.5294,445314,0.0022845343,0.9658,0.2435, 54901,434364,14128,1848,14833,168,3955,23239, 36694,366582,10732,1389,12143,130,2907,14737,120974,109715,114627,88228, 98599,82372,142029,124472,73249,154193,121279,167047,101839,109715,120974,81283,119931,111560,160620,4,2,131706, 96114,0.5781,0.5741,1.0000,2.000,0,-0.25606
1553,1,551378, 1,0.7382,438160,0.0048998568,0.9827,0.4235,147910,294004,44392,1675,23498,168,8792,30939,102855,253418,33176,1286,19754,130,6542,20999,120589, 64359,104469,48431, 90845,47363,117171,109392,39769,137001, 73177,143924, 57172, 64359,120589,45188,105469, 65175,140463,1,2,117627, 55045,0.6812,0.6822,1.0000,2.000,0,-0.25606
1553,2,546001, 1,0.7382,449434,0.0048998568,0.9827,0.3241, 34191,460046,10994,1838,14869,152,2600,21311, 23133,389017, 8748,1413,11658,125,1911,13429,131936,116183,127009,95990,107277,92570,157179,137884,79524,170485,126745,184650,107683,116183,131936,89360,132337,117214,177566,1,2,145203,103116,0.5847,0.5796,1.0000,2.000,0,-0.25606
1554,1,549858, 1,0.6905,436167,0.0021296198,0.9589,0.1617,144793,297093,42367,1673,24324,163,8503,30942,100849,254942,31950,1301,19853,130,6309,20833,126021, 62326,109862,48748, 95338,48673,122353,114664,40076,144388, 70720,150335, 56444, 62326,126021,45833,110554, 63583,147361,3,3,123280, 54497,0.6935,0.6938,1.0000,2.000,0,-0.25606
1554,2,547521, 1,0.6905,451427,0.0021296198,0.9589,0.2352, 37308,456957,13019,1840,14043,157,2889,21308, 25139,387493, 9974,1398,11559,125,2144,13595,126505,118215,121616,95673,102784,91260,151998,132612,79217,163098,129202,178239,108411,118215,126505,88716,127252,118807,170668,3,3,139550,103664,0.5738,0.5687,1.0000,2.000,0,-0.25606
1555,1,546497, 1,0.7427,437136,0.0039958847,0.9714,0.3150,126606,312780,41676,1615,24008,171,8666,30975, 88235,268524,31481,1250,20070,135,6513,20928,120941, 69684,106629,53872, 91019,54181,121325,112239,44425,140005, 78719,147191, 62925, 69684,120941,50826,107803, 70823,143598,2,3,119907, 60634,0.6642,0.6638,1.0000,2.000,0,-0.25606
1555,2,550882, 1,0.7427,450458,0.0039958847,0.9714,0.3244, 55495,441270,13710,1898,14359,149,2726,21275, 37753,373911,10443,1449,11342,120,1940,13500,131584,110858,124848,90548,107103,85752,153025,135037,74868,167481,121203,181382,101930,110858,131584,83722,130003,111567,174431,2,3,142923, 97527,0.5944,0.5902,1.0000,2.000,0,-0.25606
1556,1,551400, 1,0.7780,437898,0.0049399524,0.9732,0.3088,141517,302937,42795,1611,22817,161,8700,30862, 98253,260029,31848,1222,19095,123,6480,20848,122927, 66402,106730,50547, 93728,48426,120603,112082,41334,140458, 74821,147389, 58839, 66402,122927,46769,108285, 66831,143924,2,1,120559, 56728,0.6800,0.6808,1.0000,2.000,0,-0.25606
1556,2,545979, 1,0.7780,449696,0.0049399524,0.9732,0.2783, 40584,451113,12591,1902,15550,159,2692,21388, 27735,382406,10076,1477,12317,132,1973,13580,129599,114139,124747,93873,104394,91507,153748,135194,77959,167028,125101,181185,106015,114139,129599,87779,129521,115559,174105,2,1,142271,101433,0.5838,0.5787,1.0000,2.000,0,-0.25606
1557,1,547782, 1,0.7415,434610,0.0016539409,0.9792,0.4082,145153,294659,43635,1672,22833,168,8762,30900,100918,252984,32618,1284,19204,131,6518,20953,119588, 63778,103809,48594, 90051,47398,116035,108708,39994,136294, 73128,142531, 58074, 63778,119588,45329,104650, 65602,139413,1,2,116716, 55161,0.6791,0.6801,1.0000,2.000,0,-0.25606
1557,2,549597, 1,0.7415,452984,0.0016539409,0.9792,0.3703, 36948,459391,11751,1841,15534,152,2630,21350, 25070,389451, 9306,1415,12208,124,1935,13475,132937,116764,127668,95826,108071,92535,158316,138568,79298,171192,126794,186043,106781,116764,132937,89219,133156,116788,178616,1,2,146114,103000,0.5865,0.5814,1.0000,2.000,0,-0.25606
1558,1,550155, 1,0.6194,437344,0.0026709095,0.9615,0.2314,140374,307854,39922,1685,24100,153,7567,28500, 97192,264155,29783,1283,20086,118,5576,19151,116612, 72126,101733,54705, 86965,54934,117420,107421,45299,133209, 81864,142210, 64392, 72126,116612,51646,103384, 73130,137710,2,4,115081, 62220,0.6491,0.6487,1.0000,2.000,0,-0.25606
1558,2,547224, 1,0.6194,450250,0.0026709095,0.9615,0.1988, 41727,446196,15464,1828,14267,167,3825,23750, 28796,378280,12141,1416,11326,137,2877,15277,135914,108416,129744,89716,111157,84999,156930,139855,73994,174277,118058,186363,100462,108416,135914,82902,134422,109260,180320,2,4,147749, 95941,0.6063,0.6023,1.0000,2.000,0,-0.25606
1559,1,546276, 1,0.7379,434094,0.0043986626,0.9827,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
1559,2,551103, 1,0.7379,453500,0.0043986626,0.9827,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
1560,1,548075, 1,0.5860,438863,0.0011199412,0.9593,0.3043,121705,328829,37242,1506,23091,155,7418,28129, 84276,281540,28038,1156,19329,121,5497,18906,116470, 81273,103775,63227, 87018,64708,122767,110466,52514,135918, 91366,145864, 73168, 81273,116470,60150,106006, 82268,140892,2,4,117468, 71042,0.6231,0.6209,1.0000,2.000,0,-0.25606
1560,2,549304, 1,0.5860,448731,0.0011199412,0.9593,0.2219, 60396,425221,18144,2007,15276,165,3974,24121, 41712,360895,13886,1543,12083,134,2956,15522,136055, 99268,127703,81194,111104,75225,151583,136810,66779,171567,108556,182710, 91687, 99268,136055,74398,131800,100121,177138,2,4,145362, 87118,0.6253,0.6227,1.0000,2.000,0,-0.25606
1561,1,551413, 1,0.7304,438235,0.0049636452,0.9810,0.4244,141528,304087,42658,1627,21942,168,8674,30729, 98190,261144,31755,1230,18512,128,6455,20821,118364, 68672,102905,51883, 89161,50361,116795,108315,42657,135222, 78248,142559, 61808, 68672,118364,48301,104294, 70029,138891,1,2,116189, 58938,0.6635,0.6642,1.0000,2.000,0,-0.25606
1561,2,545966, 1,0.7304,449359,0.0049636452,0.9810,0.3614, 40573,449963,12728,1886,16425,152,2718,21521, 27798,381291,10169,1469,12900,127,1998,13607,134161,111869,128572,92537,108961,89572,157555,138961,76636,172263,121674,186014,103047,111869,134161,86248,133512,112361,179138,1,2,146642, 99223,0.5964,0.5916,1.0000,2.000,0,-0.25606
1562,1,547684, 1,0.7270,435022,0.0018325483,0.9805,0.3947,141302,301393,42453,1610,21664,168,8557,30537, 98048,258714,31569,1213,18304,128,6354,20692,117463, 68094,102018,51429, 88387,49929,115784,107352,42305,134072, 77616,141345, 61303, 68094,117463,47888,103385, 69460,137709,1,2,115203, 58446,0.6634,0.6642,1.0000,2.000,0,-0.25606
1562,2,549695, 1,0.7270,452572,0.0018325483,0.9805,0.3509, 40799,452657,12933,1903,16703,152,2835,21713, 27940,383721,10355,1486,13108,127,2099,13736,135062,112448,129459,92991,109736,90004,158566,139924,76988,173413,122306,187229,103552,112448,135062,86660,134421,112929,180320,1,2,147627, 99715,0.5969,0.5921,1.0000,2.000,0,-0.25606
1563,1,546763, 1,0.5917,434471,0.0035110933,0.9688,0.4483,137821,311914,38633,1542,22914,152,6862,26925, 95633,266435,28808,1166,19227,118,5033,18051,116939, 75611,102664,58245, 87822,57545,118790,108752,48339,133890, 86162,142479, 69271, 75611,116939,54710,104506, 77718,138184,2,2,115905, 65863,0.6377,0.6372,1.0000,2.000,0,-0.25606
1563,2,550616, 1,0.5917,453123,0.0035110933,0.9688,0.2696, 44280,442136,16753,1971,15453,168,4530,25325, 30355,376000,13116,1533,12185,137,3420,16377,135586,104931,128813,86175,110300,82388,155560,138524,70954,173596,113760,186095, 95583,104931,135586,79838,133299,104672,179845,2,2,146925, 92298,0.6142,0.6102,1.0000,2.000,0,-0.25606
1564,1,550621, 1,0.6121,437809,0.0035202059,0.9736,0.4370,141406,307066,40223,1598,25101,158,7421,27648, 98071,263429,30161,1215,20806,122,5473,18532,117360, 74297,102833,57350, 86652,59279,119551,108615,47648,134106, 84228,143062, 66776, 74297,117360,54759,104412, 75504,138584,2,4,116026, 64929,0.6412,0.6399,1.0000,2.000,0,-0.25606
1564,2,546758, 1,0.6121,449785,0.0035202059,0.9736,0.2858, 40695,446984,15163,1915,13266,162,3971,24602, 27917,379006,11763,1484,10606,133,2980,15896,135166,106245,128644,87070,111470,80654,154799,138661,71645,173379,115694,185512, 98078,106245,135166,79789,133394,106886,179445,2,4,146805, 93232,0.6116,0.6083,1.0000,2.000,0,-0.25606
1565,1,548185, 1,0.7198,435925,0.0009194636,0.9784,0.4051,138138,305253,41753,1566,22149,166,8588,30572, 95664,262127,31056,1185,18659,126,6394,20714,117332, 69087,102299,52217, 88454,50836,116438,107764,42969,134554, 78507,142000, 62065, 69087,117332,48675,103738, 70288,138277,1,3,115549, 59280,0.6609,0.6615,1.0000,2.000,0,-0.25606
1565,2,549194, 1,0.7198,451669,0.0009194636,0.9784,0.3540, 43963,448797,13633,1947,16218,154,2804,21678, 30324,380308,10868,1514,12753,129,2059,13714,135194,111455,129179,92203,109668,89097,157913,139512,76323,172932,121415,186574,102790,111455,135194,85874,134068,112102,179752,1,3,147282, 98881,0.5983,0.5937,1.0000,2.000,0,-0.25606
1566,1,547902, 1,0.7336,435395,0.0014352380,0.9810,0.3765,141439,300836,42652,1625,21920,168,8654,30608, 98147,258465,31749,1228,18493,128,6442,20743,117628, 67624,102202,51051, 88641,49538,115881,107567,41908,134299, 77061,141539, 60742, 67624,117628,47500,103572, 68902,137920,1,2,115394, 57987,0.6656,0.6663,1.0000,2.000,0,-0.25606
1566,2,549477, 1,0.7336,452199,0.0014352380,0.9810,0.3382, 40662,453214,12734,1888,16447,152,2738,21642, 27841,383970,10175,1471,12919,127,2011,13685,134897,112917,129275,93369,109481,90395,158469,139709,77385,173186,122861,187034,104113,112917,134897,87049,134233,113487,180109,1,2,147436,100174,0.5954,0.5906,1.0000,2.000,0,-0.25606
1567,1,551413, 1,0.7304,438235,0.0049636452,0.9810,0.4244,141528,304087,42658,1627,21942,168,8674,30729, 98190,261144,31755,1230,18512,128,6455,20821,118364, 68672,102905,51883, 89161,50361,116795,108315,42657,135222, 78248,142559, 61808, 68672,118364,48301,104294, 70029,138891,1,2,116189, 58938,0.6635,0.6642,1.0000,2.000,0,-0.25606
1567,2,545966, 1,0.7304,449359,0.0049636452,0.9810,0.3614, 40573,449963,12728,1886,16425,152,2718,21521, 27798,381291,10169,1469,12900,127,1998,13607,134161,111869,128572,92537,108961,89572,157555,138961,76636,172263,121674,186014,103047,111869,134161,86248,133512,112361,179138,1,2,146642, 99223,0.5964,0.5916,1.0000,2.000,0,-0.25606
1568,1,549423, 1,0.5899,437870,0.0013368216,0.9494,0.1394,136444,311112,39375,1669,21433,150,8377,30863, 95357,266638,29589,1306,17674,124,6151,21031,128298, 65763,112584,51430, 97892,49718,126003,118151,41962,148714, 74195,155711, 59808, 65763,128298,47703,113658, 67002,152213,3,2,126765, 57146,0.6893,0.6897,1.0000,2.000,0,-0.25606
1568,2,547956, 1,0.5899,449724,0.0013368216,0.9494,0.1844, 45657,442938,16011,1844,16934,170,3015,21387, 30631,375797,12335,1393,13738,131,2302,13397,124228,114779,118893,92990,100230,90215,148347,129125,77331,158772,125727,172862,105047,114779,124228,86845,124148,115388,165817,3,2,136066,101015,0.5739,0.5688,1.0000,2.000,0,-0.25606
1569,1,547871, 1,0.7414,437526,0.0014917362,0.9723,0.3333,130979,309273,42177,1619,24051,170,8676,30926, 91229,265598,31824,1248,20076,134,6508,20909,121041, 68541,106300,52965, 90995,53072,120569,111738,43709,139563, 77656,146551, 62029, 68541,121041,49916,107400, 69843,143057,1,3,119537, 59661,0.6671,0.6669,1.0000,2.000,0,-0.25606
1569,2,549508, 1,0.7414,450068,0.0014917362,0.9723,0.3346, 51122,444777,13209,1894,14316,150,2716,21324, 34759,376837,10100,1451,11336,121,1945,13519,131484,112001,125178,91456,107127,86861,153781,135538,75584,167923,122266,182022,102826,112001,131484,84633,130406,112546,174972,1,3,143294, 98500,0.5926,0.5883,1.0000,2.000,0,-0.25606
1570,1,550487, 1,0.6093,448116,0.0032759876,0.9580,0.2235, 89892,372365,30794,2207,18829,197,6819,29384, 63383,318510,23607,1702,15854,161,5152,19747,141217, 76195,128661,62822,115754,56799,144674,134786,51699,171338, 84331,177488, 71160, 76195,141217,57107,130968, 77746,174413,2,3,144845, 67168,0.6832,0.6832,1.0000,1.833,0,-0.17447
1570,2,546892, 1,0.6093,439478,0.0032759876,0.9580,0.3951, 92209,381685,24592,1306,19538,123,4573,22866, 62605,323925,18317, 997,15558, 94,3301,14681,111309,104347,102817,81598, 82368,83134,129676,112491,67594,136147,115591,151085, 93695,104347,111309,77442,106838,104644,143616,2,3,117985, 90993,0.5646,0.5590,0.8333,1.833,0,-0.17447
1571,1,551075, 1,0.6433,442114,0.0043476319,0.9545,0.1617,114880,338920,35839,1381,22274,150,7750,29881, 79307,290637,26667,1041,18572,114,5729,20047,121197, 80228,108226,61811, 92473,60781,127238,115355,50612,143575, 88286,153298, 70263, 80228,121197,57735,110824, 79275,148437,3,4,123052, 68663,0.6418,0.6403,1.0000,2.000,0,-0.25606
1571,2,546304, 1,0.6433,445480,0.0043476319,0.9545,0.1961, 67221,415130,19547,2132,16093,170,3642,22369, 46681,351798,15257,1658,12840,141,2724,14381,131328,100314,123252,82609,105649,79152,147112,131921,68681,163911,111636,175276, 94592,100314,131328,76814,126982,103114,169592,3,4,139779, 89498,0.6097,0.6066,1.0000,2.000,0,-0.25606
1572,1,550900, 1,0.6271,444097,0.0040286902,0.9649,0.2724,122929,325450,40123,1643,21676,156,8207,30716, 86435,280883,30455,1288,17871,129,6113,20923,132631, 69391,117467,55020,101538,54428,132150,123374,44944,155180, 76718,162476, 61910, 69391,132631,51464,118632, 69315,158827,3,2,132117, 60401,0.6863,0.6858,1.0000,2.000,0,-0.25606
1572,2,546479, 1,0.6271,443497,0.0040286902,0.9649,0.2284, 59172,428600,15263,1870,16691,164,3185,21534, 39553,361552,11469,1411,13541,126,2340,13505,119894,111151,114010,89400, 96584,85505,142200,123902,74348,152306,123204,166098,102945,111151,119894,83084,119174,113075,159202,3,2,130714, 97760,0.5721,0.5675,1.0000,2.000,0,-0.25606
1573,1,546203, 1,0.7380,433779,0.0045317069,0.9784,0.3600,148531,287886,44556,1687,23826,168,8779,30770,103255,248377,33304,1297,19992,130,6527,20897,119587, 62244,103459,46765, 89936,45943,115509,108122,38443,135617, 70797,142244, 55201, 62244,119587,43717,104256, 63000,138931,1,2,116353, 53232,0.6861,0.6872,1.0000,2.000,0,-0.25606
1573,2,551176, 1,0.7380,453815,0.0045317069,0.9784,0.3043, 33570,466164,10830,1826,14541,152,2613,21480, 22733,394058, 8620,1402,11420,125,1926,13531,132939,118297,128019,97656,108186,93990,158841,139154,80850,171868,129125,186330,109654,118297,132939,90831,133550,119389,179098,1,2,146477,104929,0.5826,0.5774,1.0000,2.000,0,-0.25606
1574,1,551413, 1,0.7304,438235,0.0049636452,0.9810,0.4244,141528,304087,42658,1627,21942,168,8674,30729, 98190,261144,31755,1230,18512,128,6455,20821,118364, 68672,102905,51883, 89161,50361,116795,108315,42657,135222, 78248,142559, 61808, 68672,118364,48301,104294, 70029,138891,1,2,116189, 58938,0.6635,0.6642,1.0000,2.000,0,-0.25606
1574,2,545966, 1,0.7304,449359,0.0049636452,0.9810,0.3614, 40573,449963,12728,1886,16425,152,2718,21521, 27798,381291,10169,1469,12900,127,1998,13607,134161,111869,128572,92537,108961,89572,157555,138961,76636,172263,121674,186014,103047,111869,134161,86248,133512,112361,179138,1,2,146642, 99223,0.5964,0.5916,1.0000,2.000,0,-0.25606
1575,1,549210, 1,0.6393,447218,0.0009486239,0.9645,0.2214, 90134,368862,32278,2228,16534,198,7824,31152, 63314,316334,24616,1697,14173,157,5865,21062,137397, 74062,124306,60714,112464,54151,139984,130341,49871,167099, 81596,172689, 68813, 74062,137397,54912,126774, 75205,169894,2,1,140612, 64868,0.6843,0.6845,1.0000,1.833,0,-0.17154
1575,2,548169, 1,0.6393,440376,0.0009486239,0.9645,0.4259, 91967,385188,23108,1285,21833,122,3568,21098, 62674,326101,17308,1002,17239, 98,2588,13366,115128,106479,107172,83707, 85658,85782,134366,116935,69422,140386,118326,155885, 96042,106479,115128,79637,111032,107185,148135,2,1,122218, 93293,0.5671,0.5616,0.8333,1.833,0,-0.17154
1576,1,550458, 1,0.7341,437262,0.0032231344,0.9805,0.4246,148836,291538,44626,1689,23901,168,8801,30899,103444,251466,33357,1298,20053,130,6542,20972,120480, 63599,104286,47821, 90596,46980,116781,109098,39295,136700, 72287,143555, 56376, 63599,120480,44699,105190, 64332,140128,1,2,117356, 54392,0.6833,0.6843,1.0000,2.000,0,-0.25606
1576,2,546921, 1,0.7341,450332,0.0032231344,0.9805,0.3169, 33265,462512,10760,1824,14466,152,2591,21351, 22544,390969, 8567,1401,11359,125,1911,13456,132045,116943,127191,96599,107526,92953,157569,138178,79998,170786,127635,185019,108479,116943,132045,89849,132616,118057,177902,1,2,145474,103768,0.5837,0.5785,1.0000,2.000,0,-0.25606
1577,1,550436, 1,0.6539,445082,0.0031830389,0.9558,0.3456, 95683,366677,29647,1630,18560,186,7568,30485, 66773,312993,22483,1270,15318,155,5635,20455,138195, 78053,124624,63934,110083,59323,142515,131708,52146,166153, 85963,173808, 71393, 78053,138195,58468,127232, 78678,169980,3,2,141013, 68468,0.6732,0.6723,1.0000,2.000,0,-0.25606
1577,2,546943, 1,0.6539,442512,0.0031830389,0.9558,0.2360, 86418,387373,25739,1883,19807,134,3824,21765, 59215,329442,19441,1429,16094,100,2818,13973,114330,102489,106853,80486, 88039,80609,131835,115568,67147,141332,113959,154765, 93462,102489,114330,76081,110574,103712,148049,3,2,121818, 89693,0.5759,0.5716,1.0000,2.000,0,-0.25606
1578,1,551090, 1,0.7385,437366,0.0043749698,0.9792,0.3709,145240,297730,43653,1673,22856,168,8775,30995,100964,255580,32633,1285,19222,131,6527,21024,120324, 64924,104554,49583, 90638,48359,117136,109583,40813,137217, 74315,143624, 59081, 64924,120324,46252,105477, 66699,140421,1,2,117582, 56179,0.6767,0.6776,1.0000,2.000,0,-0.25606
1578,2,546289, 1,0.7385,450228,0.0043749698,0.9792,0.3426, 36861,456320,11733,1840,15511,152,2617,21255, 25024,386855, 9291,1414,12190,124,1926,13404,132201,115618,126923,94837,107484,91574,157215,137693,78480,170269,125607,184949,105774,115618,132201,88296,132329,115691,177608,1,2,145248,101982,0.5875,0.5824,1.0000,2.000,0,-0.25606
1579,1,550458, 1,0.7341,437262,0.0032231344,0.9805,0.4246,148836,291538,44626,1689,23901,168,8801,30899,103444,251466,33357,1298,20053,130,6542,20972,120480, 63599,104286,47821, 90596,46980,116781,109098,39295,136700, 72287,143555, 56376, 63599,120480,44699,105190, 64332,140128,1,2,117356, 54392,0.6833,0.6843,1.0000,2.000,0,-0.25606
1579,2,546921, 1,0.7341,450332,0.0032231344,0.9805,0.3169, 33265,462512,10760,1824,14466,152,2591,21351, 22544,390969, 8567,1401,11359,125,1911,13456,132045,116943,127191,96599,107526,92953,157569,138178,79998,170786,127635,185019,108479,116943,132045,89849,132616,118057,177902,1,2,145474,103768,0.5837,0.5785,1.0000,2.000,0,-0.25606
1580,1,547356, 1,0.7239,438608,0.0024303363,0.9550,0.2217,104342,348799,31641,1357,22540,155,7978,30544, 72158,296298,23811,1060,18707,126,5962,20486,126062, 79193,113081,62632, 97442,60166,130855,120252,51205,148985, 88925,157661, 72439, 79193,126062,58001,115407, 80683,153323,3,2,127762, 69093,0.6490,0.6481,1.0000,2.000,0,-0.25606
1580,2,550023, 1,0.7239,448986,0.0024303363,0.9550,0.2394, 77759,405251,23745,2156,15827,165,3414,21706, 53830,346137,18113,1639,12705,129,2491,13942,126464,101349,118397,81788,100680,79767,143496,127024,68088,158501,110997,170913, 92416,101349,126464,76548,122399,101707,164707,3,2,135068, 89068,0.6026,0.5988,1.0000,2.000,0,-0.25606
1581,1,547834, 1,0.6935,440241,0.0015591696,0.9675,0.3129,103756,346039,36667,1523,19680,163,8412,31594, 71797,295241,27446,1160,16793,128,6344,21332,117052, 79661,104698,61243, 89641,59104,122095,111628,50501,138836, 89871,147614, 72699, 79661,117052,56950,107015, 81287,143225,2,2,118795, 68846,0.6331,0.6324,1.0000,2.000,0,-0.25606
1581,2,549545, 1,0.6935,447353,0.0015591696,0.9675,0.2806, 78345,408011,18719,1990,18687,157,2980,20656, 54191,347194,14478,1539,14619,127,2109,13096,135474,100881,126780,83177,108481,80829,152255,135648,68792,168650,110051,180959, 92156,100881,135474,77599,130791,101103,174804,2,2,144036, 89315,0.6173,0.6135,1.0000,2.000,0,-0.25606
1582,1,551413, 1,0.7304,438235,0.0049636452,0.9810,0.4244,141528,304087,42658,1627,21942,168,8674,30729, 98190,261144,31755,1230,18512,128,6455,20821,118364, 68672,102905,51883, 89161,50361,116795,108315,42657,135222, 78248,142559, 61808, 68672,118364,48301,104294, 70029,138891,1,2,116189, 58938,0.6635,0.6642,1.0000,2.000,0,-0.25606
1582,2,545966, 1,0.7304,449359,0.0049636452,0.9810,0.3614, 40573,449963,12728,1886,16425,152,2718,21521, 27798,381291,10169,1469,12900,127,1998,13607,134161,111869,128572,92537,108961,89572,157555,138961,76636,172263,121674,186014,103047,111869,134161,86248,133512,112361,179138,1,2,146642, 99223,0.5964,0.5916,1.0000,2.000,0,-0.25606
1583,1,550551, 1,0.7418,437834,0.0033926292,0.9714,0.3049,143383,299716,42846,1631,23467,157,8712,30639,100055,257533,32001,1251,19596,123,6465,20810,125541, 65534,109256,50224, 95701,48593,122862,114548,41090,143518, 73886,150369, 58269, 65534,125541,46636,110592, 66078,146944,2,2,123114, 56266,0.6863,0.6870,1.0000,2.000,0,-0.25606
1583,2,546828, 1,0.7418,449760,0.0033926292,0.9714,0.2582, 38718,454334,12540,1882,14900,163,2680,21611, 25933,384902, 9923,1448,11816,132,1988,13618,126984,115008,122221,94197,102421,91340,151488,132727,78203,163968,126036,178204,106586,115008,126984,87913,127214,116311,171085,2,2,139717,101895,0.5783,0.5731,1.0000,2.000,0,-0.25606
1584,1,550434, 1,0.5436,448744,0.0031793938,0.9710,0.2790, 67156,407167,23048,1996,13404,178,7162,30323, 46526,346746,17593,1534,10744,144,5337,20120,138221, 90721,128107,74416,112798,68153,149248,136309,60996,172887, 99167,181993, 83567, 90721,138221,67855,131616, 91367,177439,2,2,145652, 79503,0.6469,0.6452,1.0000,2.000,0,-0.25606
1584,2,546945, 1,0.5436,438850,0.0031793938,0.9710,0.5207,114945,346883,32338,1517,24963,142,4230,21927, 79462,295689,24331,1165,20668,111,3116,14308,114304, 89821,103370,70004, 85324,71780,125102,110967,58297,134599,100755,146581, 81288, 89821,114304,66694,106190, 91023,140590,2,2,117178, 78658,0.5983,0.5950,1.0000,2.000,0,-0.25606
1585,1,548495, 1,0.7409,435203,0.0003544810,0.9797,0.3990,145257,295157,43678,1672,22851,168,8770,30942,100988,253426,32650,1284,19220,131,6519,20985,119686, 63910,103904,48666, 90126,47482,116150,108800,40068,136443, 73284,142717, 58185, 63910,119686,45406,104745, 65736,139580,1,2,116832, 55265,0.6789,0.6799,1.0000,2.000,0,-0.25606
1585,2,548884, 1,0.7409,452391,0.0003544810,0.9797,0.3663, 36844,458893,11708,1841,15516,152,2622,21308, 25000,389009, 9274,1415,12192,124,1934,13443,132839,116632,127573,95754,107996,92451,158201,138476,79224,171043,126638,185857,106670,116632,132839,89143,133061,116654,178449,1,2,145998,102896,0.5866,0.5814,1.0000,2.000,0,-0.25606
1586,1,551424, 1,0.5354,448782,0.0049836930,0.9684,0.2184, 55521,426314,19621,1900,10753,181,6959,30175, 38027,360471,14813,1439, 8719,144,5233,19936,132556, 98116,123745,79948,108828,73058,146563,132509,66059,167425,108570,177111, 92038, 98116,132556,73022,127911,100305,172268,2,1,141249, 86299,0.6207,0.6187,1.0000,2.000,0,-0.25606
1586,2,545955, 1,0.5354,438812,0.0049836930,0.9684,0.3507,126580,327736,35765,1613,27614,139,4433,22075, 87961,281964,27111,1260,22693,111,3220,14492,119970, 82426,107733,64473, 89294,66875,127787,114767,53233,140061, 91352,151462, 72817, 82426,119970,61527,109895, 82085,145761,2,1,121582, 71862,0.6285,0.6256,1.0000,2.000,0,-0.25606
1587,1,546024, 1,0.5696,430259,0.0048579388,0.9346,0.1061,126741,328658,33156,1491,20507,159,7012,28300, 87324,277581,24604,1142,15907,128,5128,18445,118945, 80966,105502,63495, 87982,64605,123950,112238,52742,139607, 91861,149198, 74190, 80966,118945,60280,107417, 83026,144402,3,4,119631, 71310,0.6265,0.6245,1.0000,2.000,0,-0.25606
1587,2,551355, 1,0.5696,457335,0.0048579388,0.9346,0.1630, 55360,425392,22230,2022,17860,161,4380,23950, 38664,364854,17320,1557,15505,127,3325,15983,133580, 99576,125975,80925,110140,75328,150400,135038,66551,167879,108061,179375, 90665, 99576,133580,74269,130389, 99364,173627,3,4,143199, 86851,0.6225,0.6197,1.0000,2.000,0,-0.25606
1588,1,550306, 1,0.5103,441289,0.0029461107,0.9667,0.4395,118956,342495,34256,1561,24903,140,4996,22999, 82336,292222,25903,1210,20623,108,3713,15174,116877, 88081,105432,68796, 87600,70526,126429,112812,57216,136821, 99149,148326, 79900, 88081,116877,65513,108068, 89526,142574,2,3,119185, 77278,0.6067,0.6038,1.0000,2.000,0,-0.25606
1588,2,547073, 1,0.5103,446305,0.0029461107,0.9667,0.2470, 63145,411555,21130,1952,13464,180,6396,29251, 43652,350213,16021,1489,10789,147,4740,19254,135648, 92461,126045,75624,110522,69407,147921,134465,62077,170665,100773,180247, 84955, 92461,135648,69036,129738, 92864,175455,2,3,143645, 80883,0.6398,0.6377,1.0000,2.000,0,-0.25606
1589,1,546913, 1,0.5093,451688,0.0032377146,0.9662,0.2789, 57348,416346,21915,2083,17902,186,4986,26147, 40529,355894,17228,1637,15126,156,3785,17333,141560, 89972,132302,74371,117205,68038,153240,140417,60917,176761, 97923,185804, 83008, 89972,141560,67775,135791, 90466,181282,2,3,149613, 79038,0.6543,0.6527,1.0000,2.000,0,-0.25606
