draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3953,2,923653, 2,0.7142,666931,0.004458688,0.9948,0.3103,171542,689558, 5837, 9798, 8921,1788,3453,32756,107043,516997,4184, 7134, 7354,1245,2376,20598,200717, 68629,222188, 70672,170321, 84826,181208, 74261,175583, 81531,270093,102895,258867,104787,211452, 69650,175705, 80206,264481,103842,1,0, 83943,211283,0.2843,0.2858,0,0,0,0.1884
3954,1,915758, 2,0.7002,711198,0.004127005,0.9920,0.1778, 67495,762002, 8851, 9144,16962,1605,4786,44913, 44457,606525,5710, 6845,13540,1198,3560,29363,210570,121544,228913,117987,192680,146470,204969,129301,196532,140709,285163,184038,280573,180955,219742,119767,198061,138827,282868,182497,1,1,145858,228484,0.3896,0.3895,0,0,0,0.1884
3954,2,923348, 2,0.7002,665202,0.004127005,0.9920,0.3159,171912,688521, 5934, 9759, 9074,1796,3457,32895,107243,514941,4236, 7090, 7468,1244,2367,20613,198484, 68221,220103, 70261,168980, 84612,179821, 73982,174122, 81327,268955,102982,257871,104908,209294, 69241,174309, 79974,263414,103946,1,1, 83756,209763,0.2854,0.2868,0,0,0,0.1884
3955,1,919044, 2,0.7162,711545,0.000553530,0.9944,0.2395, 66868,765266, 9059, 9066,17155,1616,4793,45221, 44039,607001,5840, 6772,13691,1198,3579,29425,208655,121472,227111,117884,191597,146883,203948,129481,195340,141074,285220,184984,280685,182033,217884,119679,196963,139146,282952,183509,1,1,146259,227507,0.3913,0.3912,0,0,0,0.1884
3955,2,920062, 2,0.7162,664855,0.000553530,0.9944,0.2969,172539,685257, 5726, 9837, 8881,1785,3450,32587,107661,514465,4106, 7163, 7317,1244,2348,20551,200399, 68294,221905, 70364,170063, 84199,180842, 73801,175314, 80962,268898,102036,257760,103830,211152, 69329,175407, 79654,263330,102934,1,1, 83355,210740,0.2834,0.2849,0,0,0,0.1884
3956,1,918815, 2,0.7160,711452,0.000802564,0.9940,0.2229, 67253,764644, 9063, 9086,17151,1616,4789,45213, 44265,606682,5842, 6785,13694,1198,3566,29420,208282,121500,226761,117893,191245,146897,203595,129496,194979,141099,284689,185051,280191,182089,217522,119697,196608,139164,282440,183570,1,1,146290,227105,0.3918,0.3916,0,0,0,0.1884
3956,2,920291, 2,0.7160,664948,0.000802564,0.9940,0.2850,172154,685879, 5722, 9817, 8885,1785,3454,32595,107435,514784,4104, 7150, 7314,1244,2361,20556,200772, 68266,222255, 70355,170415, 84185,181194, 73787,175675, 80937,269429,101969,258254,103774,211513, 69310,175762, 79636,263842,102872,1,1, 83325,211142,0.2830,0.2844,0,0,0,0.1884
3957,1,917343, 2,0.7152,710004,0.002403342,0.9942,0.2277, 67001,763503, 9108, 9063,17195,1634,4777,45062, 44082,605512,5860, 6768,13720,1203,3567,29292,207607,121335,226131,117723,190721,146810,203061,129380,194456,140974,284006,185017,279539,182004,216869,119529,196081,139054,281772,183511,1,1,146178,226502,0.3922,0.3921,0,0,0,0.1884
3957,2,921763, 2,0.7152,666396,0.002403342,0.9942,0.2877,172406,687020, 5677, 9840, 8841,1767,3466,32746,107618,515954,4086, 7167, 7288,1239,2360,20684,201448, 68431,222885, 70525,170938, 84272,181728, 73903,176198, 81062,270112,102003,258906,103860,212166, 69478,176289, 79746,264509,102932,1,1, 83437,211745,0.2827,0.2841,0,0,0,0.1884
3958,1,919911, 2,0.7166,711783,0.000389320,0.9938,0.2316, 68570,764604, 8885, 9121,17027,1585,4805,45314, 45010,606377,5728, 6822,13582,1165,3572,29527,208866,120899,227285,117308,191540,146023,203785,128803,195297,140287,285577,183685,280916,180845,218075,119104,196875,138371,283246,182265,1,1,145408,227608,0.3898,0.3897,0,0,0,0.1884
3958,2,919195, 2,0.7166,664617,0.000389320,0.9938,0.3082,170837,685919, 5900, 9782, 9009,1816,3438,32494,106690,515089,4218, 7113, 7426,1277,2355,20449,200188, 68867,221731, 70941,170120, 85059,181005, 74480,175357, 81749,268541,103335,257529,105018,210960, 69903,175495, 80429,263035,104177,1,1, 84207,210639,0.2856,0.2870,0,0,0,0.1884
3959,1,920123, 2,0.7168,712135,0.000619866,0.9940,0.2276, 67424,765685, 9117, 9081,17220,1635,4795,45166, 44353,607254,5862, 6782,13739,1204,3581,29360,208501,121512,227007,117935,191498,147107,203898,129612,195251,141259,285107,185337,280595,182349,217754,119724,196884,139326,282851,183843,1,1,146445,227407,0.3917,0.3915,0,0,0,0.1884
3959,2,918983, 2,0.7168,664265,0.000619866,0.9940,0.2875,171983,684838, 5668, 9822, 8816,1766,3448,32642,107347,514212,4084, 7153, 7269,1238,2346,20616,200554, 68254,222009, 70313,170161, 83975,180891, 73671,175403, 80777,269011,101683,257850,103515,211281, 69284,175486, 79475,263431,102599,1,1, 83170,210840,0.2829,0.2843,0,0,0,0.1884
3960,1,917758, 2,0.7155,710411,0.001952035,0.9930,0.2145, 67202,763807, 9065, 9048,17130,1613,4790,45103, 44205,605824,5840, 6756,13674,1194,3574,29344,208217,121359,226675,117778,191191,146715,203493,129331,194894,140912,284502,184858,280026,181864,217446,119569,196527,138986,282264,183361,1,0,146117,226999,0.3916,0.3914,0,0,0,0.1884
3960,2,921348, 2,0.7155,665989,0.001952035,0.9930,0.2714,172205,686716, 5720, 9855, 8906,1788,3453,32705,107495,515642,4106, 7179, 7334,1248,2353,20632,200837, 68406,222341, 70471,170469, 84367,181296, 73951,175759, 81124,269616,102162,258419,103999,211589, 69439,175843, 79814,264018,103081,1,0, 83497,211248,0.2833,0.2847,0,0,0,0.1884
3961,1,917712, 2,0.9187,692500,0.002002060,0.9831,0.1611,108224,733245, 5936, 9456,11249,1596,4589,43417, 68129,571779,3926, 7029, 9229,1147,3311,27950,212144, 95978,227230, 93803,188568,115464,199018,101473,192949,110249,290868,144638,283562,143370,219688, 94891,193513,109061,287215,144004,1,3,114997,227762,0.3355,0.3361,0,0,0,0.1884
3961,2,921394, 2,0.9187,683900,0.002002060,0.9831,0.3050,131183,717278, 8849, 9447,14787,1805,3654,34391, 83571,549687,6020, 6906,11779,1295,2616,22026,196910, 93788,221786, 94446,173092,115618,185771,101810,177704,111787,263250,142382,254883,142493,209348, 94117,178857,109739,259067,142438,1,3,114618,210486,0.3526,0.3531,0,0,0,0.1884
3962,1,915665, 2,0.7143,707804,0.004228141,0.9904,0.2076, 70701,758149, 9199, 9008,17195,1652,4748,45013, 46416,601050,5928, 6723,13730,1216,3553,29188,204481,121336,223452,117639,187495,146877,199983,129340,191313,140979,279648,185125,275355,182026,213967,119488,192932,139066,277502,183575,1,1,146189,223103,0.3959,0.3957,0,0,0,0.1884
3962,2,923441, 2,0.7143,668596,0.004228141,0.9904,0.2406,168706,692374, 5586, 9895, 8841,1749,3495,32795,105284,520416,4018, 7212, 7278,1226,2374,20788,204574, 68430,225564, 70610,174165, 84205,184806, 73942,179340, 81057,274470,101895,263089,103837,215069, 69520,179438, 79735,268780,102867,1,1, 83425,215144,0.2794,0.2808,0,0,0,0.1884
3963,1,916309, 2,0.7147,709413,0.003527801,0.9938,0.2333, 68357,761416, 8917, 9126,16979,1587,4798,45129, 44955,604207,5731, 6815,13555,1167,3572,29411,207791,120468,226019,116870,190406,145397,202582,128268,194126,139701,284050,182960,279420,180122,216905,118669,195706,137788,281735,181541,1,1,144827,226341,0.3902,0.3901,0,0,0,0.1884
3963,2,922797, 2,0.7147,666987,0.003527801,0.9938,0.3102,171050,689107, 5868, 9777, 9057,1814,3445,32679,106745,517259,4215, 7120, 7453,1275,2355,20565,201263, 69298,222997, 71379,171254, 85685,182208, 75015,176528, 82335,270068,104060,259025,105741,212130, 70338,176664, 81012,264547,104901,1,1, 84787,211906,0.2858,0.2871,0,0,0,0.1884
3964,1,916078, 2,0.8778,694421,0.003779010,0.9872,0.2469,105710,734144, 5906, 9005,11453,1557,4586,43717, 66334,575355,3906, 6682, 9396,1131,3325,28292,218584, 96643,234168, 94627,195343,116751,205914,102580,199631,111614,295937,146120,288815,144575,226377, 95636,200297,110315,292376,145347,1,3,116130,234055,0.3316,0.3320,0,0,0,0.1884
