draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,gov_18_dem_mil,gov_18_rep_moo,uss_18_dem_rin,uss_18_rep_bra,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
8,2,681780, 1,0.7553,557759,0.000881559,0.9881,0.09131,625891, 4552,11455,5506, 5856,187,2053,26280,518048, 3519, 7543,4135,4737,158,1586,18033,162540,183639,148390,144204,26879,121579,190711,200127,148172,227014,183639,162540,132892, 87635,213571,169442,1,0,135338,175313,0.4357,0.4081,0.2,1.0,0,-0.09041579
9,1,683957, 1,0.7528,555077,0.004077486,0.9881,0.15789,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195559,152796,172823,128965,38417,102410,244953,161728,199383,191742,152796,195559,115688,105620,176735,222168,0,0,170227,147528,0.5357,0.5038,0.8,1.0,0,-0.09175502
9,2,678402, 1,0.7528,555008,0.004077486,0.9881,0.09157,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,161973,182690,147902,143448,26776,120905,190093,198945,147689,225782,182690,161973,132177, 87339,212364,168891,0,0,134887,174354,0.4362,0.4086,0.2,1.0,0,-0.09175502
10,1,683087, 1,0.8247,554669,0.002800290,0.9805,0.12183,604559,20752,15288,1765,10878,209,2410,27226,501439,13200,10273,1441,8669,166,1813,17668,198491,151896,176581,129196,38500,102284,249112,160394,202683,191124,151896,198491,115740,107541,175759,225898,1,0,173073,146979,0.5408,0.5081,0.8,1.0,0,-0.09375226
10,2,679272, 1,0.8247,555416,0.002800290,0.9805,0.08447,623705, 4363,11321,5528, 5790,198,2020,26347,516065, 3351, 7383,4162,4667,166,1552,18070,159041,183590,144144,143217,26693,121031,185934,200279,144389,226400,183590,159041,132124, 85419,213340,165162,1,0,132040,174903,0.4302,0.4035,0.2,1.0,0,-0.09375226
11,1,680579, 1,0.7553,552326,0.000881559,0.9881,0.15271,602373,20563,15154,1787,10812,220,2377,27293,499456,13032,10113,1468,8599,174,1779,17705,194992,151847,172335,128209,38314,101736,244335,160546,198900,190510,151847,194992,114973,105325,175528,221618,1,0,169775,146570,0.5367,0.5047,0.8,1.0,0,-0.09041579
11,2,681780, 1,0.7553,557759,0.000881559,0.9881,0.09131,625891, 4552,11455,5506, 5856,187,2053,26280,518048, 3519, 7543,4135,4737,158,1586,18033,162540,183639,148390,144204,26879,121579,190711,200127,148172,227014,183639,162540,132892, 87635,213571,169442,1,0,135338,175313,0.4357,0.4081,0.2,1.0,0,-0.09041579
12,1,679520, 1,0.7560,551629,0.002436215,0.9876,0.15561,601473,20545,15119,1787,10808,218,2364,27206,498848,13015,10080,1471,8605,174,1772,17664,194739,151466,172075,127970,38261,101569,243887,160349,198538,190227,151466,194739,114770,105168,175288,221213,1,0,169500,146316,0.5367,0.5047,0.8,1.0,0,-0.08990191
12,2,682839, 1,0.7560,558456,0.002436215,0.9876,0.09123,626791, 4570,11490,5506, 5860,189,2066,26367,518656, 3536, 7576,4132,4731,158,1593,18074,162793,184020,148650,144443,26932,121746,191159,200324,148534,227297,184020,162793,133095, 87791,213811,169847,1,0,135614,175566,0.4358,0.4082,0.2,1.0,0,-0.08990191
13,1,683157, 1,0.8072,554535,0.002903053,0.9819,0.12142,604696,20743,15252,1783,10891,214,2384,27194,501381,13181,10250,1450,8677,169,1796,17631,198054,151933,175587,128854,38452,102228,248590,160426,202206,191076,151933,198054,115541,107020,175751,225398,1,0,172578,146903,0.5402,0.5076,0.8,1.0,0,-0.09337633
13,2,679202, 1,0.8072,555550,0.002903053,0.9819,0.08178,623568, 4372,11357,5510, 5777,193,2046,26379,516123, 3370, 7406,4153,4659,163,1569,18107,159478,183553,145138,143559,26741,121087,186456,200247,144866,226448,183553,159478,132323, 85940,213348,165661,1,0,132536,174979,0.4310,0.4042,0.2,1.0,0,-0.09337633
14,1,683957, 1,0.7528,555077,0.004077486,0.9881,0.15789,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195559,152796,172823,128965,38417,102410,244953,161728,199383,191742,152796,195559,115688,105620,176735,222168,0,0,170227,147528,0.5357,0.5038,0.8,1.0,0,-0.09175502
14,2,678402, 1,0.7528,555008,0.004077486,0.9881,0.09157,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,161973,182690,147902,143448,26776,120905,190093,198945,147689,225782,182690,161973,132177, 87339,212364,168891,0,0,134887,174354,0.4362,0.4086,0.2,1.0,0,-0.09175502
15,1,678034, 1,0.8627,553152,0.004617726,0.9767,0.09773,605808,16002,14646,1726,10703,189,2339,26621,503330,10607, 9884,1414,8546,153,1763,17455,200781,151622,179246,129591,38458,102282,252281,160828,205110,191858,151622,200781,115937,108852,176343,228696,1,2,175175,147236,0.5433,0.5102,0.8,0.8,0,-0.00020255
15,2,684325, 1,0.8627,556933,0.004617726,0.9767,0.09374,622456, 9113,11963,5567, 5965,218,2091,26952,514174, 5944, 7772,4189,4790,179,1602,18283,156751,183864,141479,142822,26735,121033,182765,199845,141962,225666,183864,156751,131928, 84107,212756,162364,1,2,129938,174646,0.4266,0.4005,0.0,0.8,0,-0.00020255
16,1,680579, 1,0.7553,552326,0.000881559,0.9881,0.15271,602373,20563,15154,1787,10812,220,2377,27293,499456,13032,10113,1468,8599,174,1779,17705,194992,151847,172335,128209,38314,101736,244335,160546,198900,190510,151847,194992,114973,105325,175528,221618,1,0,169775,146570,0.5367,0.5047,0.8,1.0,0,-0.09041579
16,2,681780, 1,0.7553,557759,0.000881559,0.9881,0.09131,625891, 4552,11455,5506, 5856,187,2053,26280,518048, 3519, 7543,4135,4737,158,1586,18033,162540,183639,148390,144204,26879,121579,190711,200127,148172,227014,183639,162540,132892, 87635,213571,169442,1,0,135338,175313,0.4357,0.4081,0.2,1.0,0,-0.09041579
17,1,683957, 1,0.7528,555077,0.004077486,0.9881,0.15789,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195559,152796,172823,128965,38417,102410,244953,161728,199383,191742,152796,195559,115688,105620,176735,222168,0,0,170227,147528,0.5357,0.5038,0.8,1.0,0,-0.09175502
17,2,678402, 1,0.7528,555008,0.004077486,0.9881,0.09157,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,161973,182690,147902,143448,26776,120905,190093,198945,147689,225782,182690,161973,132177, 87339,212364,168891,0,0,134887,174354,0.4362,0.4086,0.2,1.0,0,-0.09175502
18,1,677889, 1,0.7051,549589,0.004830592,0.9886,0.21667,601242,20311,14566,1781,10494,234,2333,26928,497830,12823, 9651,1482,8300,178,1779,17546,189221,154095,167226,129464,37926,103076,236512,163641,191697,193009,154095,189221,116270,102576,178325,214105,1,0,164516,148657,0.5253,0.4946,0.6,1.0,0,-0.08577391
18,2,684470, 1,0.7051,560496,0.004830592,0.9886,0.08213,627022, 4804,12043,5512, 6174,173,2097,26645,519674, 3728, 8005,4121,5036,154,1586,18192,168311,181391,153499,142949,27267,120239,198534,197032,155375,224515,181391,168311,131594, 90383,210774,176955,1,0,140597,173225,0.4480,0.4190,0.4,1.0,0,-0.08577391
19,1,683957, 1,0.7528,555077,0.004077486,0.9881,0.15789,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195559,152796,172823,128965,38417,102410,244953,161728,199383,191742,152796,195559,115688,105620,176735,222168,0,0,170227,147528,0.5357,0.5038,0.8,1.0,0,-0.09175502
19,2,678402, 1,0.7528,555008,0.004077486,0.9881,0.09157,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,161973,182690,147902,143448,26776,120905,190093,198945,147689,225782,182690,161973,132177, 87339,212364,168891,0,0,134887,174354,0.4362,0.4086,0.2,1.0,0,-0.09175502
20,1,679258, 1,0.7562,551456,0.002820842,0.9815,0.15318,601862,20049,15025,1776,10929,214,2348,27055,499087,12656,10011,1466,8663,164,1755,17654,195590,151160,173883,127877,38445,101389,244391,160865,198751,190770,151160,195590,114633,106164,175818,221571,1,1,170212,146412,0.5376,0.5057,0.8,1.0,0,-0.09051365
20,2,683101, 1,0.7562,558629,0.002820842,0.9815,0.08607,626402, 5066,11584,5517, 5739,193,2082,26518,518417, 3895, 7645,4137,4673,168,1610,18084,161942,184326,146842,144536,26748,121926,190655,199808,148321,226754,184326,161942,133231, 86795,213281,169488,1,1,134902,175470,0.4346,0.4071,0.2,1.0,0,-0.09051365
21,1,683957, 1,0.7528,555077,0.004077486,0.9881,0.15789,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195559,152796,172823,128965,38417,102410,244953,161728,199383,191742,152796,195559,115688,105620,176735,222168,0,0,170227,147528,0.5357,0.5038,0.8,1.0,0,-0.09175502
21,2,678402, 1,0.7528,555008,0.004077486,0.9881,0.09157,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,161973,182690,147902,143448,26776,120905,190093,198945,147689,225782,182690,161973,132177, 87339,212364,168891,0,0,134887,174354,0.4362,0.4086,0.2,1.0,0,-0.09175502
22,1,680684, 1,0.8352,554365,0.000727415,0.9729,0.04313,603083,20566,15053,1811,10856,220,2407,26688,501520,13114,10188,1484,8653,179,1814,17413,203167,148076,181887,125896,39174, 99638,253881,156043,206804,186929,148076,203167,112767,110531,171486,230343,1,1,176983,143316,0.5526,0.5192,0.8,0.8,0, 0.00213410
22,2,681675, 1,0.8352,555720,0.000727415,0.9729,0.11084,625181, 4549,11556,5482, 5812,187,2023,26885,515984, 3437, 7468,4119,4683,153,1551,18325,154365,187410,138838,146517,26019,123677,181165,204630,140268,230595,187410,154365,135097, 82429,217613,160717,1,1,128131,178566,0.4178,0.3920,0.0,0.8,0, 0.00213410
23,1,682297, 1,0.8079,554050,0.001640537,0.9848,0.12646,603817,20727,15268,1773,10918,215,2384,27195,500918,13169,10256,1448,8699,170,1792,17598,198053,151341,175825,128510,38444,101749,248820,159718,202511,190299,151341,198053,115130,107135,175009,225666,1,0,172731,146323,0.5414,0.5087,0.8,1.0,0,-0.09296228
23,2,680062, 1,0.8079,556035,0.001640537,0.9848,0.08375,624447, 4388,11341,5520, 5750,192,2046,26378,516586, 3382, 7400,4155,4637,162,1573,18140,159479,184145,144900,143903,26749,121566,186226,200955,144561,227225,184145,159479,132735, 85825,214090,165394,1,0,132383,175559,0.4299,0.4032,0.2,1.0,0,-0.09296228
24,1,680900, 1,0.8606,554740,0.000410318,0.9729,0.09538,605563,18522,14889,1756,10709,207,2354,26900,503181,12004,10028,1439,8550,170,1776,17592,200927,151109,179307,128961,38740,101738,252466,160678,205347,191643,151109,200927,115350,109024,176161,228907,1,2,175357,146826,0.5443,0.5113,0.8,0.8,0, 0.00008042
24,2,681459, 1,0.8606,555345,0.000410318,0.9729,0.09313,622701, 6593,11720,5537, 5959,200,2076,26673,514323, 4547, 7628,4164,4786,162,1589,18146,156605,184377,141418,143452,26453,121577,182580,199995,141725,225881,184377,156605,132515, 83936,212938,162153,1,2,129756,175056,0.4257,0.3994,0.0,0.8,0, 0.00008042
25,1,683957, 1,0.7528,555077,0.004077486,0.9881,0.15789,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195559,152796,172823,128965,38417,102410,244953,161728,199383,191742,152796,195559,115688,105620,176735,222168,0,0,170227,147528,0.5357,0.5038,0.8,1.0,0,-0.09175502
25,2,678402, 1,0.7528,555008,0.004077486,0.9881,0.09157,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,161973,182690,147902,143448,26776,120905,190093,198945,147689,225782,182690,161973,132177, 87339,212364,168891,0,0,134887,174354,0.4362,0.4086,0.2,1.0,0,-0.09175502
26,1,677789, 1,0.7050,549567,0.004977396,0.9886,0.22969,601159,20304,14570,1784,10472,234,2335,26931,497801,12822, 9659,1481,8285,178,1781,17560,189093,154143,167150,129442,37896,103085,236293,163724,191582,192999,154143,189093,116264,102523,178362,213938,1,1,164403,148679,0.5251,0.4944,0.6,1.0,0,-0.08575178
26,2,684570, 1,0.7050,560518,0.004977396,0.9886,0.08045,627105, 4811,12039,5509, 6196,173,2095,26642,519703, 3729, 7997,4122,5051,154,1584,18178,168439,181343,153575,142971,27297,120230,198753,196949,155490,224525,181343,168439,131601, 90436,210737,177122,1,1,140711,173204,0.4482,0.4192,0.4,1.0,0,-0.08575178
27,1,682423, 1,0.8078,553983,0.001825510,0.9848,0.13471,603917,20745,15257,1781,10918,213,2369,27223,500813,13180,10263,1451,8698,168,1785,17625,197902,151406,175551,128488,38423,101810,248566,159760,202265,190323,151406,197902,115149,106987,175042,225416,1,0,172541,146357,0.5411,0.5084,0.8,1.0,0,-0.09282611
27,2,679936, 1,0.8078,556102,0.001825510,0.9848,0.08584,624347, 4370,11352,5512, 5750,194,2061,26350,516691, 3371, 7393,4152,4638,164,1580,18113,159630,184080,145174,143925,26770,121505,186480,200913,144807,227201,184080,159630,132715, 85972,214057,165644,1,0,132572,175525,0.4303,0.4036,0.2,1.0,0,-0.09282611
28,1,677832, 1,0.7573,550344,0.004914270,0.9800,0.15329,601779,18873,14958,1768,10845,221,2359,27029,498710,12062, 9980,1467,8588,164,1762,17611,194931,151602,173266,128332,38160,101747,244326,161046,198596,190975,151602,194931,115040,105713,176011,221461,1,1,169856,146740,0.5365,0.5045,0.8,1.0,0,-0.09049395
28,2,684527, 1,0.7573,559741,0.004914270,0.9800,0.08646,626485, 6242,11651,5525, 5823,186,2071,26544,518794, 4489, 7676,4136,4748,168,1603,18127,162601,183884,147459,144081,27033,121568,190720,199627,148476,226549,183884,162601,132825, 87246,213088,169598,1,1,135258,175142,0.4358,0.4083,0.2,1.0,0,-0.09049395
29,1,681332, 1,0.7076,552307,0.000223876,0.9891,0.21791,604404,20336,14628,1788,10530,234,2350,27062,500383,12839, 9689,1485,8331,178,1787,17615,190594,154746,168533,130069,38144,103544,238239,164305,193183,193856,154746,190594,116807,103339,179081,215711,1,0,165739,149304,0.5261,0.4953,0.6,1.0,0,-0.08635829
29,2,681027, 1,0.7076,557778,0.000223876,0.9891,0.08217,623860, 4779,11981,5505, 6138,173,2080,26511,517121, 3712, 7967,4118,5005,154,1578,18123,166938,180740,152192,142344,27049,119771,196807,196368,153889,223668,180740,166938,131058, 89621,210018,175348,1,0,139375,172578,0.4468,0.4179,0.4,1.0,0,-0.08635829
30,1,683467, 1,0.7830,554576,0.003358146,0.9691,0.10506,604496,20759,15504,1825,10904,214,2408,27357,501137,13198,10347,1500,8676,172,1805,17741,197550,151360,175244,128645,38656,101958,247117,160172,201115,190608,151360,197550,115302,106950,175390,224116,1,0,171936,146549,0.5399,0.5076,0.8,1.0,0,-0.09222340
30,2,678892, 1,0.7830,555509,0.003358146,0.9691,0.07694,623768, 4356,11105,5468, 5764,193,2022,26216,516367, 3353, 7309,4103,4660,160,1560,17997,159982,184126,145481,143768,26537,121357,187929,200501,145957,226916,184126,159982,132563, 86009,213709,166943,1,0,133177,175334,0.4317,0.4045,0.2,1.0,0,-0.09222340
