draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_ayo,uss_16_dem_has,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_sha,uss_20_rep_mes,gov_20_dem_fel,gov_20_rep_sun,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
804,2,686687, 1,0.6313,565230,0.0030162704,0.9807,0.2652,16796,617365, 6738,1401,13192,211,2530,28454,11658,514749,5266,1213,10612,165,1918,19649,168091,180835,170143,186893,168472,180397,147024,140699,217384,178995,231058,158167,141720,250671,168902,182709,147024,140699,195944,196721,1,0,182713,177366,0.5074,0.5073,0.7143,1.0000,0,-0.02687
805,1,686139, 1,0.7129,563478,0.0038118980,0.9772,0.1961,19532,616814, 5263,1085,14767,165,2500,26013,13266,513416,4201, 945,11904,127,1918,17701,181619,178146,183802,182672,186304,171070,159386,135293,218169,193237,231472,173151,136034,271576,183908,177296,159386,135293,212655,195226,1,0,178979,192726,0.4815,0.4811,0.2857,0.8571,0, 0.05119
805,2,691390, 1,0.7129,557202,0.0038118980,0.9772,0.4776,39922,583835,13392,1214,20837,223,3416,28551,26534,482335,9657, 985,16085,176,2525,18905,164171,170381,169831,171977,167736,166518,143378,127066,206768,172423,219305,153079,128605,245033,167246,169625,143378,127066,190178,184893,1,0,170089,173664,0.4948,0.4941,0.5714,0.8571,0, 0.05119
806,1,687560, 1,0.6337,553097,0.0017487835,0.9818,0.3303,42546,580283,11894, 887,22383,179,3371,26017,28081,478845,8573, 710,17352,141,2513,16882,176373,167570,182243,167604,184314,157074,154782,121582,207418,185125,219518,166594,122907,264266,180977,164082,154782,121582,205328,183281,1,0,166239,187671,0.4697,0.4687,0.2857,1.0000,0,-0.02774
806,2,689969, 1,0.6337,567583,0.0017487835,0.9818,0.2608,16908,620366, 6761,1412,13221,209,2545,28547,11719,516906,5285,1220,10637,162,1930,19724,169417,180957,171389,187045,169726,180514,147981,140777,217519,180535,231259,159635,141732,252343,170177,182839,147981,140777,197505,196837,1,0,182829,178718,0.5057,0.5056,0.7143,1.0000,0,-0.02774
807,1,690821, 1,0.5499,570295,0.0029857811,0.9755,0.2257,17016,620724, 6646,1317,14704,194,2489,27731,11774,519145,5208,1135,11808,149,1889,19187,171082,187441,175171,192029,174682,183760,153861,144433,227271,181461,241004,161506,145586,259615,173645,187744,153861,144433,200861,204621,1,0,188790,182483,0.5085,0.5081,0.7143,1.0000,0,-0.03289
807,2,686708, 1,0.5499,550385,0.0029857811,0.9755,0.3351,42438,579925,12009, 982,20900,194,3427,26833,28026,476606,8650, 795,16181,154,2554,17419,174709,161085,178461,162620,179358,153828,148903,117926,197666,184200,209773,164724,119053,256995,177509,159178,148903,117926,201972,175497,1,0,160279,183907,0.4657,0.4649,0.2857,1.0000,0,-0.03289
808,1,691777, 1,0.6306,556410,0.0043737736,0.9812,0.3315,42548,584432,11925, 913,22305,174,3383,26097,28099,482065,8602, 729,17312,136,2520,16947,178082,167934,183752,168214,185775,157638,156031,121782,207843,187100,220244,168235,123022,266531,182536,164595,156031,121782,207288,183703,1,0,166668,189358,0.4681,0.4671,0.2857,1.0000,0,-0.02646
808,2,685752, 1,0.6306,564270,0.0043737736,0.9812,0.2436,16906,616217, 6730,1386,13299,214,2533,28467,11701,513686,5256,1201,10677,167,1923,19659,167708,180593,169880,186435,168265,179950,146732,140577,217095,178560,230533,157994,141617,250079,168617,182326,146732,140577,195544,196415,1,0,182400,177032,0.5075,0.5073,0.7143,1.0000,0,-0.02646
809,1,690902, 1,0.5499,570326,0.0031033829,0.9772,0.2215,17056,620721, 6657,1316,14719,191,2490,27752,11820,519084,5218,1137,11820,148,1896,19203,171147,187505,175185,192077,174679,183783,153765,144561,227442,181570,241127,161635,145764,259669,173670,187788,153765,144561,200958,204778,1,0,188894,182522,0.5086,0.5082,0.7143,1.0000,0,-0.03293
809,2,686627, 1,0.5499,550354,0.0031033829,0.9772,0.3416,42398,579928,11998, 983,20885,197,3426,26812,27980,476667,8640, 793,16169,155,2547,17403,174644,161021,178447,162572,179361,153806,148999,117798,197495,184090,209651,164594,118875,256940,177484,159133,148999,117798,201874,175340,1,0,160174,183868,0.4656,0.4648,0.2857,1.0000,0,-0.03293
810,1,688786, 1,0.5971,568451,0.0000312153,0.9778,0.2337,17327,619416, 6668,1230,14612,192,2453,26888,11980,517860,5223,1071,11746,150,1863,18558,174374,186278,178087,190899,177802,182282,156085,143422,226198,184923,240140,164631,144507,262956,176754,186486,156085,143422,204170,203616,1,0,187675,185552,0.5028,0.5024,0.7143,1.0000,0,-0.03402
810,2,688743, 1,0.5971,552229,0.0000312153,0.9778,0.3304,42127,581233,11987,1069,20992,196,3463,27676,27820,477891,8635, 859,16243,153,2580,18048,171417,162249,175545,163751,176238,155306,146679,118937,198740,180738,210637,161599,120131,253653,174400,160436,146679,118937,198663,176503,1,0,161393,180838,0.4716,0.4709,0.2857,1.0000,0,-0.03402
811,1,687343, 1,0.7120,564361,0.0020638404,0.9784,0.2143,19534,618011, 5258,1090,14739,166,2496,26049,13268,514302,4194, 947,11881,128,1920,17721,182187,178100,184281,182712,186703,171165,159754,135163,218104,193840,231509,173650,135970,272142,184390,177325,159754,135163,213211,195195,1,0,178960,193223,0.4808,0.4804,0.2857,0.8571,0, 0.05140
811,2,690186, 1,0.7120,556319,0.0020638404,0.9784,0.4728,39920,582638,13397,1209,20865,222,3420,28515,26532,481449,9664, 983,16108,175,2523,18885,163603,170427,169351,171937,167337,166423,143009,127196,206834,171820,219268,152580,128669,244467,166764,169596,143009,127196,189622,184923,1,0,170108,173167,0.4955,0.4949,0.5714,0.8571,0, 0.05140
812,1,689672, 1,0.6738,566584,0.0013175766,0.9687,0.1624,19541,619438, 5305,1175,14843,165,2524,26681,13288,515864,4223,1013,11954,128,1935,18179,180356,179328,182518,183839,185180,172158,158153,136188,219237,191419,232444,171488,137120,269682,182685,178442,158153,136188,210864,196268,1,0,180045,191258,0.4849,0.4845,0.4286,0.8571,0, 0.04622
812,2,687857, 1,0.6738,554096,0.0013175766,0.9687,0.3626,39913,581211,13350,1124,20761,223,3392,27883,26512,479887,9635, 917,16035,175,2508,18427,165434,169198,171114,170810,168860,165430,144611,126171,205700,174241,218333,154741,127519,246927,168469,168479,144611,126171,191969,183851,1,0,169023,175132,0.4911,0.4905,0.4286,0.8571,0, 0.04622
813,1,691205, 1,0.6059,570282,0.0035433011,0.9784,0.2229,17452,621633, 6675,1240,14598,199,2475,26933,12042,519578,5232,1076,11743,155,1878,18578,174913,186478,178385,191243,178348,182380,156346,143520,226546,185303,240478,165011,144714,263491,177215,186700,156346,143520,204602,203914,1,0,187909,185971,0.5026,0.5022,0.7143,1.0000,0,-0.03444
813,2,686324, 1,0.6059,550398,0.0035433011,0.9784,0.3115,42002,579016,11980,1059,21006,189,3441,27631,27758,476173,8626, 854,16246,148,2565,18028,170877,162049,175247,163406,175692,155208,146418,118839,198391,180358,210299,161219,119925,253118,173938,160221,146418,118839,198231,176205,1,0,161160,180418,0.4718,0.4711,0.2857,1.0000,0,-0.03444
814,1,691679, 1,0.7305,565190,0.0042314899,0.9721,0.1802,19640,621350, 6509,1103,14470,164,2489,25954,13201,515059,5019, 958,11487,124,1910,17432,185916,174542,187003,180265,189662,169129,163363,131026,215199,197747,230114,176232,132310,277358,187526,174645,163363,131026,217113,192542,1,0,176083,196755,0.4723,0.4717,0.2857,1.0000,0,-0.01725
814,2,685850, 1,0.7305,555490,0.0042314899,0.9721,0.3031,39814,579299,12146,1196,21134,224,3427,28610,26599,480692,8839, 972,16502,179,2533,19174,159874,173984,166629,174384,164378,168460,139401,131333,209738,167913,220663,149997,132329,239251,163627,172277,139401,131333,185720,187577,1,0,172985,169635,0.5049,0.5044,0.7143,1.0000,0,-0.01725
815,1,685338, 1,0.7135,562673,0.0049748499,0.9790,0.2154,19552,616005, 5272,1097,14728,165,2477,26042,13279,512624,4201, 958,11874,127,1903,17707,181633,177197,183659,181833,186130,170245,159213,134415,217006,193238,230378,173110,135117,271308,183807,176424,159213,134415,212552,194168,1,0,178027,192614,0.4803,0.4799,0.2857,0.8571,0, 0.05080
815,2,692191, 1,0.7135,558007,0.0049748499,0.9790,0.5154,39902,584644,13383,1202,20876,223,3439,28522,26521,483127,9657, 972,16115,176,2540,18899,164157,171330,169974,172817,167911,167344,143550,127944,207931,172422,220399,153120,129522,245301,167347,170497,143550,127944,190281,185950,1,0,171041,173776,0.4960,0.4954,0.5714,0.8571,0, 0.05080
816,1,691021, 1,0.7094,567343,0.0032761561,0.9784,0.2118,19686,621224, 5299,1097,14767,166,2505,26277,13359,516985,4219, 959,11902,128,1920,17871,182814,178127,184747,182910,187200,171322,160189,135124,218177,194592,231732,174220,135869,273011,184920,177453,160189,135124,213941,195260,1,0,179037,193826,0.4802,0.4797,0.2857,0.8571,0, 0.05167
816,2,686508, 1,0.7094,553337,0.0032761561,0.9784,0.4866,39768,579425,13356,1202,20837,222,3411,28287,26441,478766,9639, 971,16087,175,2523,18735,162976,170400,168885,171740,166841,166266,142575,127235,206761,171068,219045,152009,128770,243598,166234,169469,142575,127235,188892,184858,1,0,170031,172564,0.4963,0.4956,0.5714,0.8571,0, 0.05167
817,1,685864, 1,0.7131,563244,0.0042111636,0.9750,0.2017,19544,616562, 5255,1087,14751,165,2514,25986,13272,513213,4194, 950,11891,127,1929,17668,181969,177787,184181,182317,186661,170732,159808,134917,217955,193523,231254,173455,135732,271900,184270,176945,159808,134917,212959,194981,1,0,178671,193072,0.4806,0.4802,0.2857,0.8571,0, 0.05119
817,2,691665, 1,0.7131,557436,0.0042111636,0.9750,0.4344,39910,584087,13400,1212,20853,223,3402,28578,26528,482538,9664, 980,16098,176,2514,18938,163821,170740,169451,172333,167379,166856,142955,127442,206982,172138,219523,152774,128907,244709,166883,169976,142955,127442,189873,185137,1,0,170398,173318,0.4958,0.4951,0.5714,0.8571,0, 0.05119
818,1,691426, 1,0.7091,567656,0.0038641655,0.9750,0.1995,19684,621609, 5297,1097,14763,166,2508,26302,13358,517281,4218, 960,11899,128,1923,17889,183010,178260,184930,183058,187392,171482,160351,135239,218356,194766,231943,174362,135999,273249,185110,177600,160351,135239,214126,195434,1,0,179191,194009,0.4801,0.4797,0.2857,0.8571,0, 0.05180
818,2,686103, 1,0.7091,553024,0.0038641655,0.9750,0.4246,39770,579040,13358,1202,20841,222,3408,28262,26442,478470,9640, 970,16090,175,2520,18717,162780,170267,168702,171591,166648,166106,142412,127120,206581,170894,218834,151868,128640,243360,166043,169322,142412,127120,188707,184685,1,0,169878,172380,0.4963,0.4957,0.5714,0.8571,0, 0.05180
819,1,685338, 1,0.7135,562673,0.0049748499,0.9790,0.2154,19552,616005, 5272,1097,14728,165,2477,26042,13279,512624,4201, 958,11874,127,1903,17707,181633,177197,183659,181833,186130,170245,159213,134415,217006,193238,230378,173110,135117,271308,183807,176424,159213,134415,212552,194168,1,0,178027,192614,0.4803,0.4799,0.2857,0.8571,0, 0.05080
819,2,692191, 1,0.7135,558007,0.0049748499,0.9790,0.5154,39902,584644,13383,1202,20876,223,3439,28522,26521,483127,9657, 972,16115,176,2540,18899,164157,171330,169974,172817,167911,167344,143550,127944,207931,172422,220399,153120,129522,245301,167347,170497,143550,127944,190281,185950,1,0,171041,173776,0.4960,0.4954,0.5714,0.8571,0, 0.05080
820,1,687126, 1,0.7122,564199,0.0023788973,0.9790,0.2085,19569,617673, 5269,1093,14809,166,2499,26048,13284,514063,4202, 954,11934,128,1917,17717,181646,178714,183944,183178,186486,171530,159517,135789,218986,193256,232278,173171,136627,271725,184025,177807,159517,135789,212717,195965,1,0,179586,192821,0.4822,0.4818,0.2857,0.8571,0, 0.05144
820,2,690403, 1,0.7122,556481,0.0023788973,0.9790,0.5150,39885,582976,13386,1206,20795,222,3417,28516,26516,481688,9656, 976,16055,175,2526,18889,164144,169813,169689,171471,167554,166058,143246,126570,205951,172404,218500,153059,128012,244884,167129,169114,143246,126570,190115,184154,1,0,169482,173568,0.4940,0.4934,0.5714,0.8571,0, 0.05144
821,1,690803, 1,0.5986,570251,0.0029596473,0.9807,0.2512,17312,621253, 6677,1243,14604,193,2464,27057,11965,519502,5239,1081,11745,149,1878,18692,174157,186213,177795,190967,177388,182475,155888,143270,226010,184905,239971,164559,144367,262895,176446,186551,155888,143270,204119,203450,1,0,187610,185370,0.5030,0.5026,0.7143,1.0000,0,-0.03387
821,2,686726, 1,0.5986,550429,0.0029596473,0.9807,0.3768,42142,579396,11978,1056,21000,195,3452,27507,27835,476249,8619, 849,16244,154,2565,17914,171633,162314,175837,163682,176652,155114,146876,119090,198927,180756,210806,161671,120272,253714,174707,160370,146876,119090,198713,176668,1,0,161458,181020,0.4714,0.4707,0.2857,1.0000,0,-0.03387
822,1,686135, 1,0.7129,563285,0.0038177055,0.9772,0.2130,19543,616802, 5281,1084,14764,165,2495,26001,13266,513259,4212, 944,11908,127,1913,17656,181823,177389,183810,182074,186257,170506,159335,134589,217317,193427,230786,173207,135327,271612,183963,176656,159335,134589,212749,194478,1,0,178284,192782,0.4805,0.4800,0.2857,0.8571,0, 0.05095
822,2,691394, 1,0.7129,557395,0.0038177055,0.9772,0.5016,39911,583847,13374,1215,20840,223,3421,28563,26534,482492,9646, 986,16081,176,2530,18950,163967,171138,169822,172576,167783,167083,143428,127770,207620,172233,219992,153023,129312,244997,167191,170266,143428,127770,190084,185641,1,0,170785,173607,0.4959,0.4952,0.5714,0.8571,0, 0.05095
823,1,689357, 1,0.6054,554227,0.0008602360,0.9778,0.3140,42520,582104,11771, 882,22289,181,3417,26193,28064,480040,8468, 706,17287,144,2538,16980,176802,168944,182720,169011,184751,158485,155455,123289,209327,186066,221298,167628,125003,264920,181424,165480,155455,123289,206204,185209,1,0,167908,188334,0.4713,0.4703,0.2857,1.0000,0,-0.02661
823,2,688172, 1,0.6054,566453,0.0008602360,0.9778,0.2494,16934,618545, 6884,1417,13315,207,2499,28371,11736,515711,5390,1224,10702,159,1905,19626,168989,179582,170912,185638,169289,179104,147309,139071,215610,179594,229479,158602,139636,251689,169729,181441,147309,139071,196629,194909,1,0,181160,178055,0.5043,0.5042,0.7143,1.0000,0,-0.02661
824,1,685432, 1,0.6352,551098,0.0048383736,0.9772,0.2481,42141,579142,11750, 910,22186,175,3349,25779,27816,477573,8455, 726,17183,137,2485,16723,176851,166327,182557,166608,184583,156163,154988,120678,205985,185925,218009,167276,122119,264396,181330,163032,154988,120678,205865,182038,1,0,165127,188082,0.4675,0.4665,0.2857,1.0000,0,-0.02816
824,2,692097, 1,0.6352,569582,0.0048383736,0.9772,0.2175,17313,621507, 6905,1389,13418,213,2567,28785,11984,518178,5403,1204,10806,166,1958,19883,168940,182200,171075,188041,169457,181426,147776,141681,218953,179735,232768,158954,142520,252213,169823,183889,147776,141681,196967,198081,1,0,183942,178308,0.5078,0.5076,0.7143,1.0000,0,-0.02816
825,1,691955, 1,0.5649,554937,0.0046322074,0.9721,0.2880,42445,585720,11739, 914,21109,167,3461,26400,27950,481696,8420, 732,16357,137,2572,17073,180942,163503,186034,164250,187285,154541,157263,118475,202854,190315,215020,171251,119998,268084,184754,160765,157263,118475,209883,179291,1,0,162663,191596,0.4592,0.4582,0.2857,1.0000,0,-0.02746
825,2,685574, 1,0.5649,565743,0.0046322074,0.9721,0.2148,17009,614929, 6916,1385,14495,221,2455,28164,11850,514055,5438,1198,11632,166,1871,19533,164848,185024,167599,190399,166755,183047,145500,143884,222084,175345,235757,154978,144641,248525,166400,186157,145500,143884,192950,200828,1,0,186405,174793,0.5161,0.5159,0.7143,1.0000,0,-0.02746
826,1,690178, 1,0.7904,562736,0.0020522254,0.9755,0.1637,31251,601423,10531,1060,17183,167,2670,25893,20849,500259,7654, 895,13701,135,1994,17249,178088,169222,179282,173414,182930,161193,155305,125028,208015,188915,221845,168247,125623,265846,180099,167942,155305,125028,207670,185161,1,0,169191,188373,0.4732,0.4724,0.2857,1.0000,0,-0.02592
826,2,687351, 1,0.7904,557944,0.0020522254,0.9755,0.4339,28203,599226, 8124,1239,18421,221,3246,28671,18951,495492,6204,1035,14288,168,2449,19357,167702,179305,174351,181236,171110,176396,147459,137331,216922,176745,228932,157983,139016,250763,171054,178979,147459,137331,195163,194957,1,0,179877,178016,0.5026,0.5022,0.7143,1.0000,0,-0.02592
827,1,689999, 1,0.6319,554930,0.0017923398,0.9784,0.2869,42600,582602,11905, 896,22396,179,3377,26044,28119,480564,8585, 715,17364,140,2514,16929,177514,167476,183265,167572,185312,157013,155550,121504,207219,186491,219398,167872,122717,265621,182030,164020,155550,121504,206661,183111,1,0,166128,188804,0.4681,0.4670,0.2857,1.0000,0,-0.02713
827,2,687530, 1,0.6319,565750,0.0017923398,0.9784,0.2544,16854,618047, 6750,1403,13208,209,2539,28520,11681,515187,5273,1215,10625,163,1929,19677,168276,181050,170367,187078,168728,180576,147213,140855,217718,179169,231379,158358,141922,250988,169123,182901,147213,140855,196172,197007,1,0,182940,177586,0.5074,0.5073,0.7143,1.0000,0,-0.02713
828,1,686097, 1,0.7129,563368,0.0038728767,0.9778,0.2108,19532,616869, 5260,1079,14729,165,2487,25976,13268,513390,4196, 942,11880,127,1908,17657,182049,177422,184130,182064,186548,170533,159609,134615,217376,193705,230803,173491,135296,271942,184242,176673,159609,134615,213046,194493,1,0,178301,193069,0.4801,0.4797,0.2857,0.8571,0, 0.05107
828,2,691432, 1,0.7129,557312,0.0038728767,0.9778,0.4886,39922,583780,13395,1220,20875,223,3429,28588,26532,482361,9662, 988,16109,176,2535,18949,163741,171104,169502,172585,167492,167056,143154,127744,207562,171955,219974,152738,129343,244668,166911,170249,143154,127744,189787,185626,1,0,170767,173321,0.4963,0.4956,0.5714,0.8571,0, 0.05107
829,1,690004, 1,0.7101,566499,0.0017995991,0.9767,0.2088,19668,620274, 5297,1096,14760,166,2503,26240,13347,516188,4218, 959,11896,128,1918,17845,182523,177969,184467,182733,186951,171143,159954,135003,217974,194251,231499,173931,135749,272595,184646,177281,159954,135003,213592,195075,1,0,178867,193525,0.4803,0.4799,0.2857,0.8571,0, 0.05148
829,2,687525, 1,0.7101,554181,0.0017995991,0.9767,0.4804,39786,580375,13358,1203,20844,222,3413,28324,26453,479563,9640, 971,16093,175,2525,18761,163267,170558,169165,171917,167090,166445,142810,127356,206963,171410,219278,152298,128890,244015,166507,169640,142810,127356,189241,185044,1,0,170201,172864,0.4961,0.4954,0.5714,0.8571,0, 0.05148
830,1,689772, 1,0.6321,554573,0.0014627641,0.9829,0.3557,42572,582329,11930, 900,22395,177,3387,26082,28076,480228,8603, 718,17366,139,2528,16915,177098,167918,183098,167887,185092,157356,155548,121863,207909,186064,220122,167419,123125,265465,181763,164387,155548,121863,206315,183719,1,0,166597,188541,0.4691,0.4681,0.2857,1.0000,0,-0.02707
830,2,687757, 1,0.6321,566107,0.0014627641,0.9829,0.2656,16882,618320, 6725,1399,13209,211,2529,28482,11724,515523,5255,1212,10623,164,1915,19691,168692,180608,170534,186762,168948,180232,147216,140496,217029,179597,230655,158811,141514,251144,169391,182534,147216,140496,196517,196400,1,0,182471,177849,0.5064,0.5063,0.7143,1.0000,0,-0.02707
831,1,690914, 1,0.7094,567210,0.0031208054,0.9778,0.2099,19630,621159, 5326,1108,14756,165,2489,26281,13330,516848,4250, 969,11899,127,1910,17877,183609,178356,185574,183130,187946,171601,160912,135290,218522,195418,232148,175017,136023,274110,185709,177695,160912,135290,214849,195565,1,0,179296,194656,0.4795,0.4790,0.2857,0.8571,0, 0.05209
831,2,686615, 1,0.7094,553470,0.0031208054,0.9778,0.4720,39824,579490,13329,1191,20848,223,3427,28283,26470,478903,9608, 961,16090,176,2533,18729,162181,170171,168058,171519,166094,165988,141851,127069,206416,170242,218629,151212,128616,242499,165444,169226,141851,127069,187984,184554,1,0,169773,171734,0.4971,0.4965,0.5714,0.8571,0, 0.05209
832,1,691679, 1,0.7305,565190,0.0042314899,0.9721,0.1802,19640,621350, 6509,1103,14470,164,2489,25954,13201,515059,5019, 958,11487,124,1910,17432,185916,174542,187003,180265,189662,169129,163363,131026,215199,197747,230114,176232,132310,277358,187526,174645,163363,131026,217113,192542,1,0,176083,196755,0.4723,0.4717,0.2857,1.0000,0,-0.01725
832,2,685850, 1,0.7305,555490,0.0042314899,0.9721,0.3031,39814,579299,12146,1196,21134,224,3427,28610,26599,480692,8839, 972,16502,179,2533,19174,159874,173984,166629,174384,164378,168460,139401,131333,209738,167913,220663,149997,132329,239251,163627,172277,139401,131333,185720,187577,1,0,172985,169635,0.5049,0.5044,0.7143,1.0000,0,-0.01725
833,1,685936, 1,0.7131,563203,0.0041066286,0.9790,0.2152,19514,616707, 5248,1089,14729,166,2491,25992,13252,513224,4187, 947,11872,128,1915,17678,181850,177608,183894,182233,186329,170688,159395,134788,217529,193479,230911,173323,135584,271594,184024,176842,159395,134788,212798,194676,1,0,178477,192838,0.4807,0.4802,0.2857,0.8571,0, 0.05105
833,2,691593, 1,0.7131,557477,0.0041066286,0.9790,0.4868,39940,583942,13407,1210,20875,222,3425,28572,26548,482527,9671, 983,16117,175,2528,18928,163941,170919,169738,172417,167711,166901,143368,127571,207408,172181,219866,152907,129055,245016,167129,170079,143368,127571,190034,185443,1,0,170591,173551,0.4957,0.4950,0.5714,0.8571,0, 0.05105
834,1,690412, 1,0.5496,570054,0.0023919642,0.9755,0.2212,17061,620322, 6654,1322,14690,193,2482,27688,11810,518893,5220,1140,11794,148,1894,19155,171137,187044,175087,191657,174633,183353,153654,144112,226749,181471,240443,161501,145301,259317,173619,187351,153654,144112,200763,204165,1,0,188380,182401,0.5081,0.5077,0.7143,1.0000,0,-0.03263
834,2,687117, 1,0.5496,550626,0.0023919642,0.9755,0.3491,42393,580327,12001, 977,20914,195,3434,26876,27990,476858,8638, 790,16195,155,2549,17451,174653,161482,178545,162992,179408,154235,149109,118247,198188,184189,210334,164728,119338,257293,177535,159570,149109,118247,202070,175953,1,0,160688,183989,0.4662,0.4655,0.2857,1.0000,0,-0.03263
835,1,688324, 1,0.6331,553398,0.0006395510,0.9835,0.3831,42525,580999,11930, 900,22389,177,3377,26027,28051,479134,8603, 718,17361,139,2518,16874,176620,167611,182586,167593,184634,157038,155140,121593,207527,185528,219713,166935,122871,264792,181280,164080,155140,121593,205751,183370,1,0,166278,188034,0.4693,0.4682,0.2857,1.0000,0,-0.02755
835,2,689205, 1,0.6331,567282,0.0006395510,0.9835,0.2655,16929,619650, 6725,1399,13215,211,2539,28537,11749,516617,5255,1212,10628,164,1925,19732,169170,180916,171046,187056,169406,180551,147624,140766,217411,180133,231064,159295,141768,251818,169874,182841,147624,140766,197082,196748,1,0,182790,178356,0.5061,0.5060,0.7143,1.0000,0,-0.02755
836,1,690802, 1,0.7095,567280,0.0029581954,0.9790,0.2093,19622,621056, 5281,1099,14829,166,2527,26222,13320,516914,4213, 959,11953,128,1943,17850,182756,179779,185085,184260,187597,172594,160526,136661,220304,194435,233645,174258,137509,273380,185145,178877,160526,136661,214024,197153,1,0,180679,194006,0.4822,0.4818,0.2857,0.8571,0, 0.05234
836,2,686727, 1,0.7095,553400,0.0029581954,0.9790,0.5281,39832,579593,13374,1200,20775,222,3389,28342,26480,478837,9645, 971,16036,175,2500,18756,163035,168747,168547,170389,166443,164995,142238,125698,204634,171225,217132,151972,127130,243229,166008,168044,142238,125698,188808,182965,1,0,168390,172384,0.4941,0.4935,0.5714,0.8571,0, 0.05234
837,1,688324, 1,0.6331,553398,0.0006395510,0.9835,0.3831,42525,580999,11930, 900,22389,177,3377,26027,28051,479134,8603, 718,17361,139,2518,16874,176620,167611,182586,167593,184634,157038,155140,121593,207527,185528,219713,166935,122871,264792,181280,164080,155140,121593,205751,183370,1,0,166278,188034,0.4693,0.4682,0.2857,1.0000,0,-0.02755
837,2,689205, 1,0.6331,567282,0.0006395510,0.9835,0.2655,16929,619650, 6725,1399,13215,211,2539,28537,11749,516617,5255,1212,10628,164,1925,19732,169170,180916,171046,187056,169406,180551,147624,140766,217411,180133,231064,159295,141768,251818,169874,182841,147624,140766,197082,196748,1,0,182790,178356,0.5061,0.5060,0.7143,1.0000,0,-0.02755
838,1,688173, 1,0.7000,560973,0.0008587841,0.9727,0.3391,19701,617650, 6443,1068,14476,192,2508,26135,13215,510795,4936, 918,11496,144,1919,17550,185121,174695,186736,179886,188910,169471,163224,130849,215220,196532,229833,175418,132842,275904,186922,174683,163224,130849,215951,192632,1,0,176114,195978,0.4733,0.4727,0.2857,1.0000,0,-0.01760
838,2,689356, 1,0.7000,559707,0.0008587841,0.9727,0.1654,39753,582999,12212,1231,21128,196,3408,28429,26585,484956,8922,1012,16493,159,2524,19056,160669,173832,166896,174763,165131,168118,139539,131510,209718,169128,220944,150812,131797,240705,164231,172238,139539,131510,186881,187486,1,0,172955,170412,0.5037,0.5032,0.7143,1.0000,0,-0.01760
839,1,689290, 1,0.7322,563159,0.0007629603,0.9710,0.1821,19572,619166, 6495,1100,14461,164,2480,25852,13150,513189,5005, 955,11478,124,1901,17357,185258,173746,186295,179460,189002,168298,162737,130336,214215,197042,229063,175619,131621,276384,186851,173834,162737,130336,216348,191634,1,0,175248,196048,0.4720,0.4714,0.2857,1.0000,0,-0.01817
839,2,688239, 1,0.7322,557521,0.0007629603,0.9710,0.3144,39882,581483,12160,1199,21143,224,3436,28712,26650,482562,8853, 975,16511,179,2542,19249,160532,174780,167337,175189,165038,169291,140026,132023,210723,168619,221714,150610,133018,240226,164303,173087,140026,132023,186484,188485,1,0,173821,170342,0.5051,0.5045,0.7143,1.0000,0,-0.01817
840,1,688651, 1,0.5345,566892,0.0001647878,0.9772,0.2502,16927,619216, 6544,1324,14282,190,2490,27678,11668,516271,5147,1146,11442,144,1901,19173,172636,182424,175945,187522,175262,180123,154153,140202,221272,184023,235310,163391,141091,260343,174614,183356,154153,140202,202586,199225,1,0,183992,183680,0.5004,0.5001,0.7143,1.0000,0,-0.03079
840,2,688878, 1,0.5345,553788,0.0001647878,0.9772,0.3256,42527,581433,12111, 975,21322,198,3426,26886,28132,479480,8711, 784,16547,159,2542,17433,173154,166103,177687,167127,178778,157465,148610,122157,203666,181637,215467,162839,123547,256267,176540,163565,148610,122157,200247,180893,1,0,165076,182710,0.4746,0.4739,0.2857,1.0000,0,-0.03079
841,1,692038, 1,0.6256,557473,0.0047527130,0.9807,0.2650,32347,599633, 7246, 897,21856,189,3230,26640,21507,492721,5647, 743,16930,147,2451,17327,181198,175265,187073,176189,189278,164986,159412,129602,217139,191042,229794,171615,131852,272574,185849,172146,159412,129602,211743,192929,1,0,174975,193171,0.4753,0.4745,0.2857,1.0000,0,-0.01980
841,2,685491, 1,0.6256,563207,0.0047527130,0.9807,0.2737,27107,601016,11409,1402,13748,199,2686,27924,18293,503030,8211,1187,11059,156,1992,19279,164592,173262,166559,178460,164762,172603,143351,132757,207798,174618,220983,154615,132787,244035,165304,174775,143351,132757,191089,187190,1,0,174093,173219,0.5013,0.5009,0.7143,1.0000,0,-0.01980
