draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_ayo,uss_16_dem_has,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_sha,uss_20_rep_mes,gov_20_dem_fel,gov_20_rep_sun,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
7,2,687525, 1,0.7101,554181,0.0017995991,0.9767,0.4804,39786,580375,13358,1203,20844,222,3413,28324,26453,479563,9640, 971,16093,175,2525,18761,163267,170558,169165,171917,167090,166445,142810,127356,206963,171410,219278,152298,128890,244015,166507,169640,142810,127356,189241,185044,1,0,170201,172864,0.4961,0.4954,0.5714,0.8571,0, 0.05148
8,1,688282, 1,0.5413,568293,0.0007005297,0.9790,0.2303,16942,618329, 6640,1319,14718,194,2455,27685,11753,517193,5197,1140,11817,151,1862,19180,170136,186981,174205,191574,173630,183405,152952,144152,226732,180507,240430,160640,145344,258349,172657,187320,152952,144152,199832,204170,1,0,188374,181489,0.5093,0.5089,0.7143,1.0000,0,-0.03202
8,2,689247, 1,0.5413,552387,0.0007005297,0.9790,0.3502,42512,582320,12015, 980,20886,194,3461,26879,28047,478558,8661, 790,16172,152,2581,17426,175655,161545,179427,163075,180410,154184,149812,118207,198205,185153,210348,165590,119295,258260,178497,159602,149812,118207,203000,175949,1,0,160694,184901,0.4650,0.4642,0.2857,1.0000,0,-0.03202
9,1,689367, 1,0.5768,553666,0.0008747547,0.9778,0.3379,42695,582075,11888, 914,21993,174,3450,26178,28190,479543,8550, 728,17025,141,2562,16927,176747,167790,182880,167681,184381,157620,154821,122311,207664,185523,219109,167180,123991,263917,181337,164364,154821,122311,205539,183588,1,0,166595,187921,0.4699,0.4689,0.2857,1.0000,0,-0.02735
9,2,688162, 1,0.5768,567014,0.0008747547,0.9778,0.2498,16759,618574, 6767,1385,13611,214,2466,28386,11610,516208,5308,1202,10964,162,1881,19679,169043,180736,170752,186968,169659,179968,147943,140048,217273,180137,231668,159050,140648,252692,169817,182557,147943,140048,197294,196530,1,0,182473,178468,0.5055,0.5054,0.7143,1.0000,0,-0.02735
10,1,689864, 1,0.7013,562362,0.0015963366,0.9733,0.3454,19729,619228, 6447,1077,14487,192,2515,26189,13238,512090,4940, 927,11507,144,1926,17590,185614,175022,187178,180249,189360,169832,163606,131104,215624,197071,230286,175896,133121,276562,187384,175034,163606,131104,216510,193011,1,0,176463,196470,0.4732,0.4726,0.2857,1.0000,0,-0.01710
10,2,687665, 1,0.7013,558318,0.0015963366,0.9733,0.1721,39725,581421,12208,1222,21117,196,3401,28375,26562,483661,8918,1003,16482,159,2517,19016,160177,173504,166454,174400,164680,167756,139157,131256,209313,168589,220492,150334,131518,240047,163770,171887,139157,131256,186323,187108,1,0,172606,169920,0.5039,0.5034,0.7143,1.0000,0,-0.01710
11,1,690602, 1,0.6055,570077,0.0026678204,0.9761,0.2117,17402,620973, 6694,1253,14617,192,2441,27030,12017,519286,5249,1091,11754,150,1853,18677,174412,186277,177871,191057,177701,182280,155848,143284,226202,184998,240181,164633,144473,263025,176661,186538,155848,143284,204219,203619,1,0,187679,185499,0.5029,0.5025,0.7143,1.0000,0,-0.03400
11,2,686927, 1,0.6055,550603,0.0026678204,0.9761,0.2823,42052,579676,11961,1046,20987,196,3475,27534,27783,476465,8609, 839,16235,153,2590,17929,171378,162250,175762,163592,176339,155308,146915,119075,198736,180663,210596,161597,120166,253584,174493,160384,146915,119075,198614,176499,1,0,161389,180891,0.4715,0.4708,0.2857,1.0000,0,-0.03400
12,1,687963, 1,0.5340,567578,0.0011636779,0.9778,0.2460,16900,618594, 6536,1317,14360,189,2474,27593,11694,516919,5133,1142,11510,142,1893,19145,171621,183928,175389,188782,174727,181335,153783,141470,222996,182944,237012,162381,142268,259831,173912,184682,153783,141470,201719,200760,1,0,185399,182954,0.5033,0.5030,0.7143,1.0000,0,-0.03117
