draw,district,total_pop,chain,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,730890,"NA",588720,0.0044727065,0.9685,0.25311,56979,108410,13437, 670,363678,57912,1983,127821,38984, 94992,11075, 595,312940,40689,1534, 87911,132243,64110,151221,45991,130245,55494,120008,60971,178240, 96632,55048,141731,58226,125124, 96632,178240,1,1,142393,64639,0.6878,0.6906,1,2,0,-0.1179
cd_2020,2,724381,"NA",567185,0.0044727065,0.9685,0.05768,81944,205955, 8440,1651,167880,91142,3300,164069,54123,180632, 6984,1405,145328,64529,2690,111494,134653,64737,155388,46656,146070,56537,124925,70755,187888,100232,55684,145016,63638,135498,100232,187888,1,1,149784,67785,0.6884,0.6912,1,2,0,-0.1179
1,1,725405, 1,563937,0.0030654084,0.9856,0.43587,75205,130474,16119, 824,275605,70976,2272,153930,49634,109829,12899, 717,234819,50627,1776,103636,116093,66711,137924,47345,119313,59169,105811,68485,159389,102006,57022,127006,63820,112560,102006,159389,1,1,127705,68742,0.6501,0.6530,1,2,0,-0.1179
1,2,729866, 1,591968,0.0030654084,0.9856,0.07292,63718,183891, 5758,1497,255953,78078,3011,137960,43473,165795, 5160,1283,223449,54591,2448, 95769,150803,62136,168684,45302,157003,52863,139123,63241,206740, 94858,53711,159741,58045,148062, 94858,206740,1,1,164472,63682,0.7209,0.7235,1,2,0,-0.1179
2,1,728327, 1,583386,0.0009503385,0.9744,0.20299,65034,137556,13374, 882,292458,74485,2537,142001,44591,120242,11029, 760,253500,53228,2038, 97998,127723,63709,146117,46866,127883,56381,113578,65527,174325, 94856,55286,136919,60949,120729, 94856,174325,1,0,137926,65469,0.6781,0.6800,1,2,0,-0.1179
2,2,726944, 1,572519,0.0009503385,0.9744,0.06706,73889,176809, 8503,1439,239100,74569,2746,149889,48516,155382, 7030,1240,204768,51990,2186,101407,139173,65137,160492,45781,148433,55650,131355,66199,191803,102008,55446,149828,60916,139893,102008,191803,1,0,154252,66955,0.6973,0.7009,1,2,0,-0.1179
3,1,728407, 1,566888,0.0010602836,0.9804,0.38109,74818,129237,15456, 810,278289,72762,2265,154770,49450,109278,12438, 706,237425,51725,1767,104099,117927,67460,140114,47841,121017,59756,107347,69225,161434,102844,57645,129019,64483,114181,102844,161434,1,1,129568,69425,0.6511,0.6540,1,2,0,-0.1179
3,2,726864, 1,589017,0.0010602836,0.9804,0.07151,64105,185128, 6421,1511,253269,76292,3018,137120,43657,166346, 5621,1294,220843,53493,2457, 95306,148968,61386,166495,44806,155299,52275,137586,62502,204694, 94020,53088,157729,57382,146441, 94020,204694,1,1,162610,63000,0.7208,0.7234,1,2,0,-0.1179
4,1,728710, 1,573294,0.0014767009,0.9776,0.35628,72885,132279,14474, 796,283331,69802,2400,152743,48692,113442,11810, 690,243250,50096,1894,103420,125571,68017,146887,49007,128475,60905,114436,70315,172505,103163,58508,136227,65603,121454,103163,172505,1,1,137576,70281,0.6619,0.6644,1,2,0,-0.1179
4,2,726561, 1,582611,0.0014767009,0.9776,0.07117,66038,182086, 7403,1525,248227,79252,2883,139147,44415,162182, 6249,1310,215018,55122,2330, 95985,141325,60829,159722,43640,147841,51126,130497,61412,193624, 93701,52225,150520,56261,139168, 93701,193624,1,1,154601,62143,0.7133,0.7163,1,2,0,-0.1179
5,1,729949, 1,567228,0.0031794765,0.9764,0.34935,74397,127946,15235, 789,279548,74904,2267,154863,49128,108114,12246, 680,237963,53059,1764,104274,117256,66672,139146,47245,120009,59022,106188,68687,159644,102284,56953,128198,63847,113097,102284,159644,1,1,128449,68781,0.6513,0.6542,1,2,0,-0.1179
5,2,725322, 1,588677,0.0031794765,0.9764,0.07071,64526,186419, 6642,1532,252010,74150,3016,137027,43979,167510, 5813,1320,220305,52159,2460, 95131,149640,62174,167463,45402,156307,53010,138746,63040,206484, 94580,53780,158549,58017,147525, 94580,206484,1,1,163728,63643,0.7201,0.7227,1,2,0,-0.1179
6,1,724471, 1,561472,0.0043490182,0.9808,0.31852,74593,120893,16067, 812,283154,76700,2179,150073,49209,101314,12850, 709,240236,54194,1708,101252,109121,62426,130152,43470,112770,55096, 99199,64803,149578, 98663,52944,119635,59941,105983, 98663,149578,1,1,120164,64891,0.6493,0.6530,1,2,0,-0.1179
6,2,730800, 1,594433,0.0043490182,0.9808,0.07001,64330,193472, 5810,1509,248404,72354,3104,141817,43898,174310, 5209,1291,218032,51024,2516, 98153,157775,66420,176456,49177,163546,56935,145734,66924,216550, 98201,57789,167113,61924,154639, 98201,216550,1,1,172013,67533,0.7181,0.7202,1,2,0,-0.1179
7,1,725934, 1,563820,0.0023383961,0.9824,0.38597,75202,130195,16033, 819,275773,72005,2275,153632,49630,109563,12813, 712,234987,51198,1777,103140,115998,66630,137840,47305,119143,59098,105641,68428,159245,101759,56962,126917,63755,112390,101759,159245,1,1,127573,68643,0.6502,0.6530,1,2,0,-0.1179
7,2,729337, 1,592085,0.0023383961,0.9824,0.07183,63721,184170, 5844,1502,255785,77049,3008,138258,43477,166061, 5246,1288,223281,54020,2447, 96265,150898,62216,168769,45342,157173,52933,139293,63299,206883, 95105,53771,159831,58109,148231, 95105,206883,1,1,164604,63781,0.7207,0.7234,1,2,0,-0.1179
8,1,725759, 1,568046,0.0025789011,0.9685,0.28063,71387,108275,16339, 852,308959,74581,2017,143349,47378, 92099,13177, 741,263382,52558,1579, 97132,106500,60313,126175,41778,109203,52581, 96261,61669,146939, 97535,51040,116337,57116,102730, 97535,146939,1,1,117015,62774,0.6508,0.6550,1,2,0,-0.1179
8,2,729512, 1,587859,0.0025789011,0.9685,0.06912,67536,206090, 5538,1469,222599,74473,3266,148541,45729,183525, 4882,1259,194886,52660,2645,102273,160396,68533,180433,50869,167113,59451,148672,70058,219190, 99329,59692,170410,64749,157891, 99329,219190,1,1,175162,69650,0.7155,0.7172,1,2,0,-0.1179
9,1,729734, 1,566134,0.0028839989,0.9832,0.37315,74692,121049,16183, 815,289399,75821,2196,149579,49319,101531,12952, 712,245547,53478,1728,100867,109347,62463,130310,43455,112604,55009, 99200,64535,149456, 98879,52955,119827,59763,105900, 98879,149456,1,1,120184,64867,0.6495,0.6532,1,2,0,-0.1179
9,2,725537, 1,589771,0.0028839989,0.9832,0.07163,64231,193316, 5694,1506,242159,73233,3087,142311,43788,174093, 5107,1288,212721,51740,2496, 98538,157549,66383,176299,49192,163712,57023,145733,67191,216672, 97985,57778,166920,62101,154722, 97985,216672,1,1,171994,67557,0.7180,0.7200,1,2,0,-0.1179
10,1,724096, 1,564645,0.0048643861,0.9800,0.33400,74534,126812,15404, 793,279858,69754,2253,154688,49293,107526,12350, 686,238834,50045,1768,104143,118401,67709,140696,48010,121486,59906,107821,69354,162179,103117,57855,129546,64623,114652,103117,162179,1,1,130117,69619,0.6514,0.6543,1,2,0,-0.1179
10,2,731175, 1,591260,0.0048643861,0.9800,0.07027,64389,187553, 6473,1528,251700,79300,3030,137202,43814,168098, 5709,1314,219434,55173,2456, 95262,148495,61137,165913,44637,154830,52126,137112,62373,203949, 93747,52877,157201,57242,145970, 93747,203949,1,1,162061,62805,0.7207,0.7234,1,2,0,-0.1179
11,1,724284, 1,567283,0.0046060150,0.9784,0.38086,73698,133251,14125, 800,274433,69401,2401,156175,48916,113992,11465, 695,235173,49766,1886,105390,122897,68560,144864,49177,125902,61166,111985,70654,168557,103049,58863,133878,65903,118943,103049,168557,1,1,134841,70521,0.6566,0.6590,1,2,0,-0.1179
11,2,730987, 1,588622,0.0046060150,0.9784,0.07179,65225,181114, 7752,1521,257125,79653,2882,135715,44191,161632, 6594,1305,223095,55452,2338, 94015,144000,60287,161744,43470,150414,50866,132948,61073,197571, 93815,51869,152869,55961,141679, 93815,197571,1,1,157336,61903,0.7176,0.7207,1,2,0,-0.1179
12,1,725020, 1,570966,0.0035945195,0.9736,0.34960,72659,132495,13209, 799,276426,70173,2424,156835,48561,114752,10831, 689,237574,50522,1924,106113,128943,69515,150988,50150,131856,62084,117353,71816,176168,103696,59829,139964,66944,124603,103696,176168,1,1,141061,71454,0.6638,0.6660,1,2,0,-0.1179
12,2,730251, 1,584939,0.0035945195,0.9736,0.07109,66264,181870, 8668,1522,255132,78881,2859,135055,44546,160872, 7228,1311,220694,54696,2300, 93292,137953,59331,155621,42497,144460,49947,127580,59910,189960, 93168,50904,146784,54921,136019, 93168,189960,1,1,151116,60971,0.7125,0.7158,1,2,0,-0.1179
13,1,729160, 1,585291,0.0020951424,0.9760,0.23043,64023,141040,13597, 861,291153,74504,2422,141560,43949,122627,11041, 761,253694,52915,1951, 98353,131068,63916,149641,46989,131227,56631,117479,65152,178389, 93529,55449,140353,60885,124352, 93529,178389,1,1,141561,65244,0.6845,0.6862,1,2,0,-0.1179
13,2,726111, 1,570614,0.0020951424,0.9760,0.06686,74900,173325, 8280,1460,240405,74550,2861,150330,49158,152997, 7018,1239,204574,52303,2273,101052,135828,64931,156967,45658,145088,55401,127454,66574,187739,103335,55283,146394,60979,136270,103335,187739,1,1,150616,67181,0.6915,0.6954,1,2,0,-0.1179
14,1,726950, 1,587720,0.0009420926,0.9712,0.19127,59818,132287,10897, 823,305343,74241,2328,141213,41247,115759, 9144, 727,267003,53034,1850, 98956,135090,64894,154267,47389,135137,57269,121451,65739,182124, 94167,56139,144677,61498,128294, 94167,182124,1,0,145614,65891,0.6885,0.6902,1,2,0,-0.1179
14,2,728321, 1,568185,0.0009420926,0.9712,0.06580,79105,182078,10980,1498,226215,74813,2955,150677,51860,159865, 8915,1273,191265,52184,2374,100449,131806,63953,152342,45258,141179,54763,123482,65987,184004,102697,54593,142070,60367,132328,102697,184004,1,0,146563,66534,0.6878,0.6917,1,2,0,-0.1179
15,1,728159, 1,564873,0.0007194536,0.9808,0.34192,74595,121336,16259, 832,286612,77412,2207,148906,49258,101759,13031, 724,243428,54438,1723,100512,109081,62442,129943,43494,112667,55072, 99115,64705,149539, 98938,52964,119510,59880,105889, 98938,149539,1,1,120069,64929,0.6490,0.6527,1,2,0,-0.1179
15,2,727112, 1,591032,0.0007194536,0.9808,0.07076,64328,193029, 5618,1489,244946,71642,3076,142984,43849,173865, 5028,1276,214840,50780,2501, 98893,157815,66405,176665,49153,163649,56959,145819,67021,216589, 97926,57769,167237,61984,154732, 97926,216589,1,1,172108,67495,0.7183,0.7203,1,2,0,-0.1179
16,1,724601, 1,563072,0.0041703573,0.9852,0.44479,75336,130706,16080, 820,274441,70947,2277,153994,49703,109997,12842, 711,233997,50594,1780,103448,116143,66824,138053,47444,119427,59273,105907,68615,159618,101970,57128,127096,63936,112665,101970,159618,1,1,127830,68824,0.6500,0.6529,1,2,0,-0.1179
16,2,730670, 1,592833,0.0041703573,0.9852,0.07307,63587,183659, 5797,1501,257117,78107,3006,137896,43404,165627, 5217,1289,224271,54624,2444, 95957,150753,62022,168556,45203,156889,52759,139026,63112,206510, 94894,53604,159652,57929,147957, 94894,206510,1,1,164348,63600,0.7210,0.7237,1,2,0,-0.1179
17,1,730529, 1,569189,0.0039765789,0.9772,0.28587,71468,105983,15796, 814,310379,77393,2004,146692,47072, 89591,12645, 698,264149,54362,1554, 99118,113445,62483,134214,43231,115792,54322,102518,63713,153205, 98788,52852,123829,59009,109153, 98788,153205,1,1,123834,64507,0.6575,0.6613,1,2,0,-0.1179
17,2,724742, 1,586716,0.0039765789,0.9772,0.06911,67455,208382, 6081,1507,221179,71661,3279,145198,46035,186033, 5414,1302,194119,50856,2670,100287,153451,66363,172395,49417,160524,57710,142416,68013,212924, 98076,57881,162918,62855,151469, 98076,212924,1,1,168343,67917,0.7125,0.7145,1,2,0,-0.1179
18,1,730349, 1,580126,0.0037292023,0.9796,0.28680,70116,122669,14362, 824,302129,69458,2335,148456,47198,107139,11842, 715,260673,49977,1835,100747,125164,66649,145506,48000,127152,59096,113345,68224,171821,101924,57321,135334,63654,120246,101924,171821,1,1,136597,68778,0.6651,0.6678,1,2,0,-0.1179
18,2,724922, 1,575779,0.0037292023,0.9796,0.06932,68807,191696, 7515,1497,229429,79596,2948,143434,45909,168485, 6217,1285,197595,55241,2389, 98658,141732,62197,161103,44647,149164,52936,131588,63503,194307, 94940,53412,151413,58211,140375, 94940,194307,1,1,155580,63646,0.7097,0.7125,1,2,0,-0.1179
19,1,728042, 1,569923,0.0005586588,0.9776,0.36600,73750,132542,14010, 789,276781,70019,2387,157764,48847,113230,11353, 681,237271,50234,1869,106438,126904,69705,149236,50050,129670,62147,115474,71776,173184,104343,59873,138068,66955,122571,104343,173184,1,1,138894,71604,0.6598,0.6622,1,2,0,-0.1179
19,2,727229, 1,585982,0.0005586588,0.9776,0.07121,65173,181823, 7867,1532,254777,79035,2896,134126,44260,162394, 6706,1319,220997,54984,2355, 92967,139992,59141,157373,42597,146646,49885,129459,59950,192944, 92521,50860,148679,54910,138051, 92521,192944,1,1,153283,60820,0.7159,0.7191,1,2,0,-0.1179
20,1,730619, 1,577904,0.0041002672,0.9756,0.32121,73120,142045,14010, 865,274501,69927,2587,153564,49152,123243,11538, 751,236729,50385,2056,104050,125551,67599,146118,49278,127305,60464,112760,70054,172175,101630,58436,135833,65253,120031,101630,172175,1,1,136781,69805,0.6621,0.6643,1,2,0,-0.1179
20,2,724652, 1,578001,0.0041002672,0.9756,0.07043,65803,172320, 7867,1456,257057,79127,2696,138326,43955,152381, 6521,1249,221539,54833,2168, 95355,141345,61247,160490,43369,149010,51567,132173,61673,193953, 95234,52297,150914,56611,140591, 95234,193953,1,1,155396,62619,0.7128,0.7161,1,2,0,-0.1179
21,1,725909, 1,565863,0.0023727539,0.9772,0.38606,74419,129106,15365, 809,279228,70755,2275,153952,49222,109331,12387, 703,237987,50541,1786,103906,115721,66254,137284,47055,119322,59027,105630,68473,159852,102170,56649,126501,63743,112475,102170,159852,1,1,127562,68594,0.6503,0.6533,1,2,0,-0.1179
21,2,729362, 1,590042,0.0023727539,0.9772,0.07182,64504,185259, 6512,1512,252330,78299,3008,137938,43885,166293, 5672,1297,220281,54677,2438, 95499,151175,62593,169324,45592,156994,53005,139304,63254,206277, 94694,54084,160246,58122,148147, 94694,206277,1,1,164616,63830,0.7206,0.7231,1,2,0,-0.1179
22,1,730148, 1,567514,0.0034529651,0.9856,0.44241,75600,130905,16167, 822,277764,71841,2285,154764,49869,110186,12926, 715,236718,51094,1787,104219,116589,66957,138512,47499,119821,59363,106252,68732,160007,102447,57223,127548,64040,113035,102447,160007,1,1,128236,68999,0.6502,0.6531,1,2,0,-0.1179
22,2,725123, 1,588391,0.0034529651,0.9856,0.07300,63323,183460, 5710,1499,253794,77213,2998,137126,43238,165438, 5133,1285,221550,54124,2437, 95186,150307,61889,168097,45148,156494,52668,138681,62994,206121, 94417,53510,159199,57824,147587, 94417,206121,1,1,163941,63425,0.7210,0.7237,1,2,0,-0.1179
23,1,730653, 1,575346,0.0041469939,0.9669,0.32261,71951,127716,13593, 764,289081,70503,2387,154658,48016,110028,11093, 657,248215,50637,1886,104814,127279,68841,149020,49585,130144,61506,116101,70934,174102,103227,59209,138148,66214,123122,103227,174102,1,1,139330,70820,0.6630,0.6654,1,2,0,-0.1179
23,2,724618, 1,580559,0.0041469939,0.9669,0.07009,66972,186649, 8284,1557,242477,78551,2896,137232,45091,165596, 6966,1343,210053,54581,2338, 94591,139617,60005,157589,43062,146172,50525,128832,60793,192027, 93637,51524,148599,55651,137500, 93637,192027,1,1,152847,61605,0.7127,0.7159,1,2,0,-0.1179
24,1,727532, 1,572054,0.0001422415,0.9812,0.39967,73404,131500,13750, 781,278295,70170,2378,157254,48987,113530,11245, 675,238743,50464,1880,106530,124764,69070,146942,49539,127718,61566,113633,71146,170804,103586,59301,135852,66350,120674,103586,170804,1,1,136772,70982,0.6583,0.6607,1,2,0,-0.1179
24,2,727739, 1,583851,0.0001422415,0.9812,0.07231,65519,182865, 8127,1540,253263,78884,2905,134636,44120,162094, 6814,1325,219525,54754,2344, 92875,142132,59776,159667,43108,148598,50465,131301,60581,195324, 93278,51432,150895,55515,139948, 93278,195324,1,1,155405,61442,0.7167,0.7198,1,2,0,-0.1179
25,1,729162, 1,572641,0.0020978910,0.9788,0.39164,74284,136333,14487, 824,276269,68714,2430,155821,49498,117117,11810, 722,236990,49411,1903,105190,122914,68966,144689,49569,125377,61398,111516,70802,168501,103754,59262,133800,66093,118445,103754,168501,1,1,134600,70897,0.6550,0.6574,1,2,0,-0.1179
25,2,726109, 1,583264,0.0020978910,0.9788,0.07208,64639,178032, 7390,1497,255289,80340,2853,136069,43609,158507, 6249,1278,221278,55807,2321, 94215,143982,59880,161920,43078,150939,50634,133417,60925,197627, 93110,51471,152947,55771,142177, 93110,197627,1,1,157577,61527,0.7192,0.7222,1,2,0,-0.1179
26,1,728784, 1,566397,0.0015784002,0.9832,0.34471,75449,130190,16071, 816,277574,71829,2283,154572,49736,109616,12847, 709,236542,51089,1785,104073,116311,66810,138194,47393,119536,59235,105964,68612,159610,102243,57096,127250,63916,112749,102243,159610,1,1,127923,68857,0.6501,0.6530,1,2,0,-0.1179
26,2,726487, 1,589508,0.0015784002,0.9832,0.07056,63474,184175, 5806,1505,253984,77225,3000,137318,43371,166008, 5212,1291,221726,54129,2439, 95332,150585,62037,168415,45254,156780,52797,138970,63114,206518, 94621,53637,159497,57948,147873, 94621,206518,1,1,164254,63567,0.7210,0.7236,1,2,0,-0.1179
27,1,729216, 1,565972,0.0021721040,0.9812,0.32703,71764,110022,15576, 784,301862,77178,2006,150024,47109, 92856,12413, 680,256142,54347,1554,100871,113838,64631,135310,45093,116506,56534,103034,66119,154403,101280,54856,124572,61319,109768,101280,154403,1,1,124618,66730,0.6513,0.6548,1,2,0,-0.1179
27,2,726055, 1,589933,0.0021721040,0.9812,0.07018,67159,204343, 6301,1537,229696,71876,3277,141866,45998,182768, 5646,1320,202126,50871,2670, 98534,153058,64216,171298,47554,159810,55497,141899,65608,211725, 95584,55876,162175,60546,150854, 95584,211725,1,1,167559,65694,0.7184,0.7204,1,2,0,-0.1179
28,1,731215, 1,581610,0.0049193587,0.9812,0.24874,67738,140106,15050, 899,289849,75323,2584,139666,46011,121005,12228, 786,250418,53491,2060, 95611,123225,62543,141025,46031,123286,55197,109082,64371,168914, 95020,54285,132122,59777,116183, 95020,168914,1,0,133107,64632,0.6731,0.6754,1,2,0,-0.1179
28,2,724056, 1,574295,0.0049193587,0.9812,0.06864,71185,174259, 6827,1422,241709,73731,2699,152224,47096,154619, 5831,1214,207850,51727,2164,103794,143671,66303,165584,46616,153030,56834,135851,67356,197214,101844,56448,154625,62087,144439,101844,197214,1,0,159070,67792,0.7012,0.7043,1,2,0,-0.1179
29,1,727699, 1,564581,0.0000872690,0.9796,0.31720,74269,120935,16096, 809,290104,74847,2190,148449,49020,101432,12879, 706,246258,52571,1722, 99993,109103,62393,130042,43446,112316,54937, 99141,64282,149142, 98169,52915,119571,59601,105728, 98169,149142,1,1,119949,64645,0.6498,0.6534,1,2,0,-0.1179
29,2,727572, 1,591324,0.0000872690,0.9796,0.07013,64654,193430, 5781,1512,241454,74207,3093,143441,44087,174192, 5180,1294,212010,52647,2502, 99412,157793,66453,176566,49201,164000,57095,145792,67445,216987, 98695,57817,167176,62264,154894, 98695,216987,1,1,172228,67780,0.7176,0.7197,1,2,0,-0.1179
30,1,724714, 1,561609,0.0040150597,0.9800,0.35955,74619,121190,16229, 833,281932,78494,2199,149218,49244,101589,12998, 725,239339,55273,1724,100717,107965,61947,128651,43156,111582,54678, 98005,64358,148190, 98492,52546,118306,59510,104792, 98492,148190,1,1,118878,64525,0.6482,0.6519,1,2,0,-0.1179
30,2,730557, 1,594296,0.0040150597,0.9800,0.07123,64304,193175, 5648,1488,249626,70560,3084,142672,43863,174035, 5061,1275,218929,49945,2500, 98688,158931,66900,177957,49491,164734,57353,146928,67369,217939, 98372,58186,168441,62355,155830, 98372,217939,1,1,173299,67899,0.7185,0.7205,1,2,0,-0.1179
31,1,728695, 1,573118,0.0014560862,0.9728,0.34755,73853,137478,14241, 820,274601,69001,2500,156201,49218,118490,11668, 705,235973,49662,1979,105423,126651,69165,148556,49911,129309,61739,115127,71267,173058,103440,59535,137601,66496,122217,103440,173058,1,1,138539,71104,0.6608,0.6631,1,2,0,-0.1179
31,2,726576, 1,582787,0.0014560862,0.9728,0.07093,65070,176887, 7636,1501,256957,80053,2783,135689,43889,157134, 6391,1295,222295,55556,2245, 93982,140245,59681,158052,42736,147007,50293,129807,60460,193070, 93424,51198,149146,55368,138405, 93424,193070,1,1,153638,61320,0.7147,0.7180,1,2,0,-0.1179
32,1,727633, 1,572705,0.0000034358,0.9744,0.35256,74336,135658,14714, 842,276040,69292,2420,154331,49676,116734,12066, 733,237264,49848,1892,104492,120140,67670,141518,48511,122263,60113,108419,69455,164389,102642,58086,130828,64777,115339,102642,164389,1,1,131346,69677,0.6534,0.6560,1,2,0,-0.1179
32,2,727638, 1,583200,0.0000034358,0.9744,0.07105,64587,178707, 7163,1479,255518,79762,2863,137559,43431,158890, 5993,1267,221004,55370,2332, 94913,146756,61176,165090,44136,154053,51918,136514,62272,201739, 94222,52647,155920,57087,145283, 94222,201739,1,1,160831,62747,0.7194,0.7222,1,2,0,-0.1179
33,1,726711, 1,565406,0.0012705537,0.9824,0.43210,75598,131441,16248, 828,274243,71542,2307,154504,49921,110713,13005, 719,234133,51028,1803,104084,117198,67241,139120,47708,120368,59614,106744,68981,160898,102969,57469,128157,64290,113554,102969,160898,1,1,128866,69301,0.6503,0.6532,1,2,0,-0.1179
33,2,728560, 1,590499,0.0012705537,0.9824,0.07280,63325,182924, 5629,1493,257315,77512,2976,137386,43186,164911, 5054,1281,224135,54190,2421, 95321,149698,61605,167488,44939,155948,52418,138190,62746,205230, 93895,53264,158590,57575,147068, 93895,205230,1,1,163311,63123,0.7212,0.7238,1,2,0,-0.1179
34,1,726348, 1,565282,0.0017694299,0.9748,0.30790,73790,109924,16493, 843,299266,79161,2025,144846,48950, 92539,13266, 736,254441,55708,1581, 98061,105142,59975,125041,41488,108688,52473, 95451,61950,145012, 96588,50726,115090,57203,102068, 96588,145012,1,1,115866,62494,0.6496,0.6537,1,2,0,-0.1179
34,2,728923, 1,590623,0.0017694299,0.9748,0.06989,65133,204441, 5384,1478,232292,69893,3258,147044,44157,183085, 4793,1264,203827,49510,2643,101344,161754,68871,181568,51159,167628,59558,149482,69776,221116,100276,60007,171657,64662,158554,100276,221116,1,1,176311,69930,0.7160,0.7178,1,2,0,-0.1179
35,1,730883, 1,574859,0.0044630863,0.9796,0.39487,73486,132942,13700, 790,280149,69914,2406,157496,48996,114854,11195, 681,240431,50177,1902,106623,126581,69790,148892,50101,129381,62189,115275,71703,173050,104431,59942,137735,66940,122327,104431,173050,1,1,138636,71643,0.6593,0.6617,1,2,0,-0.1179
35,2,724388, 1,581046,0.0044630863,0.9796,0.07215,65437,181423, 8177,1531,251409,79140,2877,134394,44111,160770, 6864,1319,217837,55041,2322, 92782,140315,59056,157717,42546,146935,49843,129659,60024,193078, 92433,50791,149012,54925,138295, 92433,193078,1,1,153541,60781,0.7164,0.7196,1,2,0,-0.1179
36,1,731273, 1,567615,0.0049990689,0.9856,0.41766,75538,130757,16106, 823,276731,74317,2287,154714,49852,110054,12868, 714,235875,52613,1787,103852,116533,66952,138495,47515,119754,59362,106176,68751,159991,102254,57228,127512,64049,112963,102254,159991,1,1,128190,68966,0.6502,0.6531,1,2,0,-0.1179
36,2,723998, 1,588290,0.0049990689,0.9856,0.07248,63385,183608, 5771,1498,254827,74737,2996,137176,43255,165570, 5191,1286,222393,52605,2437, 95553,150363,61895,168113,45132,156562,52670,138757,62976,206137, 94610,53505,159236,57816,147659, 94610,206137,1,1,163987,63458,0.7210,0.7237,1,2,0,-0.1179
37,1,727577, 1,564431,0.0000803974,0.9824,0.37207,74611,121000,16180, 815,287799,75556,2194,149422,49257,101487,12949, 712,244240,53300,1728,100758,109280,62433,130235,43435,112542,54984, 99147,64506,149375, 98824,52930,119756,59736,105843, 98824,149375,1,1,120116,64835,0.6494,0.6532,1,2,0,-0.1179
37,2,727694, 1,591474,0.0000803974,0.9824,0.07160,64312,193365, 5697,1506,243759,73498,3089,142468,43850,174137, 5110,1288,214028,51918,2496, 98647,157616,66414,176373,49212,163774,57047,145786,67221,216753, 98040,57803,166991,62129,154779, 98040,216753,1,1,172061,67589,0.7180,0.7200,1,2,0,-0.1179
38,1,725918, 1,564370,0.0023603851,0.9788,0.29829,73164,108783,16304, 823,302060,78105,2048,144631,48399, 91393,13069, 715,256702,54908,1582, 97602,109441,61553,130040,42492,112493,53673, 99236,63162,148910, 97997,52017,119739,58409,105863, 97997,148910,1,1,120024,63774,0.6530,0.6570,1,2,0,-0.1179
38,2,729353, 1,591535,0.0023603851,0.9788,0.06949,65759,205582, 5573,1498,229498,70949,3235,147259,44708,184231, 4990,1285,201566,50310,2642,101803,157455,67294,176569,50155,163823,58359,145698,68564,217218, 98867,58716,167008,63456,154759, 98867,217218,1,1,172153,68650,0.7149,0.7168,1,2,0,-0.1179
39,1,731223, 1,567138,0.0049303532,0.9828,0.38852,74945,121414,16172, 818,287393,77583,2198,150700,49482,101823,12946, 715,243860,54846,1724,101742,110470,62998,131644,43829,114070,55572,100314,65393,151231, 99895,53409,121055,60474,107191, 99895,151231,1,1,121546,65537,0.6497,0.6534,1,2,0,-0.1179
39,2,724048, 1,588767,0.0049303532,0.9828,0.07197,63978,192951, 5705,1503,244165,71471,3085,141190,43625,173801, 5113,1285,214408,50372,2500, 97663,156426,65849,174965,48818,162246,56459,144619,66334,214897, 96969,57323,165692,61391,153431, 96969,214897,1,1,170631,66888,0.7184,0.7204,1,2,0,-0.1179
40,1,729774, 1,593519,0.0029389715,0.9613,0.18531,55929,127565,11395, 734,334686,58997,2187,138281,38618,111935, 9492, 644,292438,42154,1728, 96510,143838,69145,164459,50421,142133,60401,131051,66054,192600, 97509,59781,154149,63223,136590, 97509,192600,1,0,154816,68704,0.6926,0.6942,1,2,0,-0.1179
40,2,725497, 1,562386,0.0029389715,0.9613,0.05321,82994,186800,10482,1587,196872,90057,3096,153609,54489,163689, 8567,1356,165830,63064,2496,102895,123058,59702,142150,42226,134183,51630,113882,65673,173528, 99355,50952,132598,58642,124032, 99355,173528,1,0,137361,63720,0.6831,0.6873,1,2,0,-0.1179
41,1,729902, 1,566433,0.0031148838,0.9820,0.32796,71676,109743,15530, 779,302990,77392,2004,149788,47020, 92640,12376, 675,257021,54483,1551,100667,112864,64245,134220,44830,115586,56210,102199,65750,153225,100685,54532,123540,60972,108891,100685,153225,1,1,123619,66342,0.6508,0.6543,1,2,0,-0.1179
41,2,725369, 1,589472,0.0031148838,0.9820,0.07021,67247,204622, 6347,1542,228568,71662,3279,142102,46087,182984, 5683,1325,201247,50735,2673, 98738,154032,64601,172389,47817,160730,55822,142734,65977,212903, 96179,56200,163208,60892,151731, 96179,212903,1,1,168558,66082,0.7184,0.7205,1,2,0,-0.1179
