draw,district,total_pop,chain,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3954,1,724291, 2,571195,0.0045963948,0.9780,0.38154,73256,133310,14118, 822,277339,69079,2413,153954,49082,115540,11633, 713,238266,49704,1906,104351,121598,68496,143134,49178,123845,60931,109998,70230,167124,103782,58833,132366,65574,116920,103782,167124,1,1,133139,70524,0.6537,0.6563,1,2,0,-0.1179
3954,2,730980, 2,584710,0.0045963948,0.9780,0.07193,65667,181055, 7759,1499,254219,79975,2870,137936,44025,160084, 6426,1287,220002,55514,2318, 95054,145298,60350,163475,43469,152471,51101,134935,61497,199004, 93082,51900,154382,56290,143702, 93082,199004,1,1,159038,61900,0.7198,0.7227,1,2,0,-0.1179
3955,1,728824, 2,586416,0.0016333728,0.9732,0.17950,62150,141866,13140, 848,304614,65619,2466,138121,42848,123357,10922, 735,264060,46994,1949, 95551,130277,64671,148901,47656,130152,57524,117334,64982,178544, 96197,56162,139587,61247,123741, 96197,178544,1,0,141042,66205,0.6805,0.6825,1,2,0,-0.1179
3955,2,726447, 2,569489,0.0016333728,0.9732,0.06665,76773,172499, 8737,1473,226944,83435,2817,153769,50259,152267, 7137,1265,194208,58224,2275,103854,136619,64175,157707,44991,146164,54507,127600,66745,187584,100667,54571,147161,60617,136881,100667,187584,1,0,151135,66219,0.6953,0.6988,1,2,0,-0.1179
3956,1,728525, 2,565783,0.0012224527,0.9824,0.36047,74308,120923,16160, 812,291633,74017,2185,148487,49057,101441,12938, 704,247706,52110,1714,100113,109639,62504,130624,43517,112825,55063, 99586,64428,149880, 98443,53007,120130,59737,106204, 98443,149880,1,1,120511,64791,0.6504,0.6540,1,2,0,-0.1179
3956,2,726746, 2,590122,0.0012224527,0.9824,0.07140,64615,193442, 5717,1509,239925,75037,3098,143403,44050,174183, 5121,1296,210562,53108,2510, 99292,157257,66342,175984,49130,163491,56968,145347,67298,216248, 98421,57726,166617,62127,154418, 98421,216248,1,1,171666,67633,0.7174,0.7195,1,2,0,-0.1179
3957,1,727699, 2,564558,0.0000872690,0.9860,0.37788,74277,120637,16173, 813,290118,75244,2190,148247,49034,101175,12945, 707,246159,52881,1716, 99941,110196,62724,131232,43632,113389,55255,100046,64691,150532, 99113,53174,120713,59964,106716, 99113,150532,1,1,121079,65082,0.6504,0.6541,1,2,0,-0.1179
3957,2,727572, 2,591347,0.0000872690,0.9860,0.07185,64646,193728, 5704,1508,241440,73810,3093,143643,44073,174449, 5114,1293,212109,52337,2508, 99464,156700,66122,175377,49015,162927,56777,144887,67036,215597, 97751,57559,166035,61901,153905, 97751,215597,1,1,171098,67342,0.7176,0.7196,1,2,0,-0.1179
3958,1,727699, 2,564558,0.0000872690,0.9860,0.37788,74277,120637,16173, 813,290118,75244,2190,148247,49034,101175,12945, 707,246159,52881,1716, 99941,110196,62724,131232,43632,113389,55255,100046,64691,150532, 99113,53174,120713,59964,106716, 99113,150532,1,1,121079,65082,0.6504,0.6541,1,2,0,-0.1179
3958,2,727572, 2,591347,0.0000872690,0.9860,0.07185,64646,193728, 5704,1508,241440,73810,3093,143643,44073,174449, 5114,1293,212109,52337,2508, 99464,156700,66122,175377,49015,162927,56777,144887,67036,215597, 97751,57559,166035,61901,153905, 97751,215597,1,1,171098,67342,0.7176,0.7196,1,2,0,-0.1179
