draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3248,1,540215, 2,0.7827,427695,0.0035001960,0.9880,0.2725,20669,458015,2187,24905,3941,396,2358,27744,14163,370962,1620,17262,3210,314,1821,18343,138248, 96610,115250,136860,165592,86593,136970,109838,118081,135944,172356,132686,166419,147027,164121,136496,174818,133964,177334,129917,139016,107475,118081,135944,171009,136018,1,0,124593,152919,0.4490,0.4493,0.2,0.3,0,0.2073
3248,2,544010, 2,0.7827,422428,0.0035001960,0.9880,0.4862,24530,443303,2890,39687,4136,443,2016,27005,15745,356591,2161,25455,3456,328,1505,17187,140990, 81096,120862,119070,167172,72374,140500, 95021,117881,117928,171243,112097,166750,125432,164423,114361,173501,113057,175601,109698,142380, 91892,117881,117928,170304,114929,1,0,106013,153892,0.4079,0.4081,0.1,0.3,0,0.2073
3249,1,542828, 2,0.7926,435729,0.0013198367,0.9845,0.1654,22547,469184,2056,14542,4448,368,2414,27269,15697,383827,1551,10383,3678,298,1911,18384,132566,106943,112543,147276,161902,96987,133882,118764,114154,149050,167013,150166,161950,164769,159699,153493,169757,150959,173205,146296,135224,117493,114154,149050,166325,153137,2,0,138470,148667,0.4822,0.4821,0.3,0.3,0,0.1981
3249,2,541397, 2,0.7926,414394,0.0013198367,0.9845,0.3342,22652,432134,3021,50050,3629,471,1960,27480,14211,343726,2230,32334,2988,344,1415,17146,146672, 70763,123569,108654,170862,61980,143588, 86094,121807,104822,176586, 94616,171220,107690,168845, 97364,178562, 96062,179730, 93319,146172, 81874,121807,104822,174989, 97810,2,0, 92136,158143,0.3681,0.3689,0.0,0.3,0,0.1981
3250,1,540135, 2,0.6847,426475,0.0036477668,0.9878,0.3445,20917,452365,2704,27624,4315,457,2442,29311,14245,366110,2041,19151,3544,366,1861,19157,135833, 94449,112999,134093,164184,83124,135524,106623,115858,132615,168142,129833,162830,143446,160908,132567,170578,130833,173300,126734,137135,104571,115858,132615,167152,132683,0,0,121432,150016,0.4473,0.4475,0.2,0.3,0,0.2084
3250,2,544090, 2,0.6847,423648,0.0036477668,0.9878,0.3915,24282,448953,2373,36968,3762,382,1932,25438,15663,361443,1740,23566,3122,276,1465,16373,143404, 83257,123113,121837,168580,75843,141946, 98236,120104,121257,175456,114950,170339,129013,167636,118291,177740,116188,179635,112881,144260, 94795,120104,121257,174161,118265,0,0,109175,156795,0.4105,0.4108,0.1,0.3,0,0.2084
3251,1,542560, 2,0.6520,434024,0.0008254744,0.9856,0.2691,23802,469993,2959,10697,4942,424,2481,27262,16536,382802,2267, 7933,4103,342,1943,18098,126510,108544,106214,150141,158069,97165,128889,120405,106832,150744,157619,150399,152526,165326,150637,153957,159591,151990,163908,146622,129921,119064,106832,150744,156856,153659,1,0,139529,141079,0.4972,0.4970,0.4,0.4,0,0.1488
3251,2,541665, 2,0.6520,416099,0.0008254744,0.9856,0.3394,21397,431325,2118,53895,3135,415,1893,27487,13372,344751,1514,34784,2563,300,1383,17432,152727, 69162,129898,105789,174695,61803,148581, 84454,129129,103128,185980, 94384,180644,107132,177907, 96900,188727, 95032,189028, 92993,151475, 80303,129129,103128,184457, 97288,1,0, 91077,165731,0.3547,0.3554,0.0,0.4,0,0.1488
3252,1,541593, 2,0.8149,428845,0.0009582882,0.9891,0.2515,20508,460081,1848,24756,3820,388,2335,27857,13951,372647,1350,17174,3116,306,1821,18480,139537, 96876,116667,137290,166870,87164,138447,110056,119493,136459,174518,133598,168558,148153,166221,137498,177004,134890,179628,130814,140381,107847,119493,136459,173186,136991,1,0,125280,154694,0.4475,0.4477,0.2,0.3,0,0.2070
3252,2,542632, 2,0.8149,421278,0.0009582882,0.9891,0.4822,24691,441237,3229,39836,4257,451,2039,26892,15957,354906,2431,25543,3550,336,1505,17050,139700, 80829,119445,118640,165894,71804,139023, 94802,116468,117413,169081,111185,164611,124306,162323,113360,171315,112131,173307,108801,141015, 91520,116468,117413,168128,113957,1,0,105327,152116,0.4091,0.4094,0.1,0.3,0,0.2070
