draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,542491,"NA",1.0000,432307,0.0006981946,0.9864,0.2057,22185,460172,1952,23733,4463,417,2412,27157,15439,374983,1442,16333,3683,317,1883,18227,131336,101396,113123,137442,156242,93839,133886,110309,113581,140796,165481,143491,161041,157019,159054,145437,169140,142870,171166,139747,133647,110747,113581,140796,165176,145713,1,0,131235,147405,0.4710,0.4708,0.2,0.2,0,0.2557
cd_2020,2,541734,"NA",1.0000,417816,0.0006981946,0.9864,0.5187,23014,441146,3125,40859,3614,422,1962,27592,14469,352570,2339,26384,2983,325,1443,17303,147901, 76309,122989,118488,176522,65128,143584, 94550,122381,113077,178118,101291,172128,115440,169490,105421,179179,104151,181769, 99868,147749, 88620,122381,113077,176137,105234,1,0, 99372,159406,0.3840,0.3847,0.0,0.2,0,0.2557
1,1,542220, 1,0.9733,431375,0.0001982983,0.9837,0.1719,21778,460205,1915,23791,4459,418,2421,27233,15148,374343,1403,16344,3678,319,1884,18256,132259,101014,113722,137445,157719,92924,134624,110218,114181,140399,166317,142459,161788,156061,159888,144373,169927,141910,171933,138754,134582,110400,114181,140399,165970,144712,2,0,130555,148235,0.4683,0.4681,0.2,0.2,0,0.2556
1,2,542005, 1,0.9733,418748,0.0001982983,0.9837,0.4027,23421,441113,3162,40801,3618,421,1953,27516,14760,353210,2378,26373,2988,323,1442,17274,146978, 76692,122390,118485,175045,66044,142846, 94640,121780,113473,177282,102324,171381,116398,168656,106485,178392,105112,181002,100861,146814, 88966,121780,113473,175343,106236,2,0,100051,158575,0.3869,0.3876,0.0,0.2,0,0.2556
2,1,544172, 1,0.7458,430255,0.0037990270,0.9793,0.1935,20927,456428,2636,28623,4126,435,2445,28552,14254,369946,1978,19736,3403,340,1889,18709,138805, 93968,115527,133757,164916,84582,138652,105898,117515,132269,170783,127588,164776,141872,163093,130579,173077,128668,175002,125169,139475,104550,117515,132269,169346,130776,1,0,120435,152214,0.4417,0.4420,0.2,0.4,0,0.1586
2,2,540053, 1,0.7458,419868,0.0037990270,0.9793,0.2059,24272,444890,2441,35969,3951,404,1929,26197,15654,357607,1803,22981,3263,302,1437,16821,140432, 83738,120585,122173,167848,74386,138818, 98961,118446,121603,172816,117195,168393,130587,165451,120279,175241,118353,177934,114446,141920, 94816,118446,121603,171967,120172,1,0,110171,154596,0.4161,0.4163,0.2,0.4,0,0.1586
3,1,543663, 1,0.9861,432849,0.0028601075,0.9859,0.1899,22263,461206,1924,23719,4488,419,2422,27222,15489,375480,1412,16292,3701,321,1887,18267,131964,101608,113587,137889,157312,93644,134469,110598,114041,141035,166056,143668,161574,157272,159681,145526,169677,143061,171750,139883,134334,110935,114041,141035,165747,145882,0,0,131418,148011,0.4703,0.4701,0.2,0.2,0,0.2554
3,2,540562, 1,0.9861,417274,0.0028601075,0.9859,0.5279,22936,440112,3153,40873,3589,420,1952,27527,14419,352073,2369,26425,2965,321,1439,17263,147274, 76098,122525,118041,175451,65323,143001, 94261,121920,112838,177543,101115,171596,115187,168863,105332,178642,103960,181185, 99732,147062, 88432,121920,112838,175566,105065,0,0, 99188,158800,0.3845,0.3852,0.0,0.2,0,0.2554
4,1,541078, 1,0.5661,419872,0.0019082755,0.9815,0.2496,20242,429066,2628,53633,4049,424,2115,28921,13705,345416,1944,34982,3327,333,1570,18595,139849, 85904,118415,122273,163604,77310,137282, 99053,116798,122524,168335,116296,163019,129216,161062,118584,170409,117102,171579,114262,139788, 96136,116798,122524,166881,119092,1,1,110252,151035,0.4220,0.4222,0.2,0.4,0,0.1586
4,2,543147, 1,0.5661,430251,0.0019082755,0.9815,0.2087,24957,472252,2449,10959,4028,415,2259,25828,16203,382137,1837, 7735,3339,309,1756,16935,139388, 91801,117697,133657,169159,81657,140187,105805,119163,131349,175264,128487,170150,143243,167482,132274,177909,129919,181356,125353,141608,103231,119163,131349,174432,131856,1,1,120354,155775,0.4359,0.4361,0.2,0.4,0,0.1586
5,1,544376, 1,0.9670,435381,0.0041753326,0.9859,0.2159,22330,471562,1965,14010,4463,395,2465,27186,15537,384170,1454,10039,3679,303,1924,18275,135219,100368,116419,137250,160773,92463,137689,109520,117309,140358,170939,142748,166509,156302,164327,144818,174556,142129,176833,138746,137526,109900,117309,140358,170633,144949,1,0,130470,152057,0.4618,0.4616,0.2,0.2,0,0.2544
5,2,539849, 1,0.9670,414742,0.0041753326,0.9859,0.4781,22869,429756,3112,50582,3614,444,1909,27563,14371,343383,2327,32678,2987,339,1402,17255,144018, 77338,119693,118680,171991,66505,139781, 95339,118653,113514,172659,102035,166660,116157,164217,106040,173763,104893,176102,100869,143870, 89467,118653,113514,170680,105999,1,0,100136,154753,0.3929,0.3936,0.0,0.2,0,0.2544
6,1,539702, 1,0.5802,422840,0.0044464940,0.9842,0.3394,20378,443374,2708,36832,4230,436,2255,29489,13856,357537,2029,24843,3470,354,1696,19055,134755, 92841,112227,132503,162958,81661,133860,105953,113254,131669,164543,126889,159156,140514,157296,129793,166647,128221,169305,124118,135951,103239,113254,131669,163389,129907,0,0,119416,147400,0.4476,0.4477,0.2,0.2,0,0.2588
6,2,544523, 1,0.5802,427283,0.0044464940,0.9842,0.2454,24821,457944,2369,27760,3847,403,2119,25260,16052,370016,1752,17874,3196,288,1630,16475,144483, 84865,123885,123428,169806,77306,143610, 98906,122707,122204,179056,117894,174014,131945,171248,121065,181672,118801,183631,115497,145445, 96128,122707,122204,177924,121040,0,0,111190,159410,0.4109,0.4113,0.0,0.2,0,0.2588
7,1,543468, 1,0.5945,426021,0.0025004035,0.9810,0.3160,20554,447329,2702,36244,4255,441,2290,29653,13969,360786,2025,24483,3484,356,1725,19193,136120, 93511,113438,133402,164671,82116,135565,106380,114876,132523,166712,128095,161371,141778,159536,130922,168990,129323,171624,125223,137449,103852,114876,132523,165647,131068,2,0,120327,149290,0.4463,0.4464,0.2,0.3,0,0.2084
7,2,540757, 1,0.5945,424102,0.0025004035,0.9810,0.2078,24645,453989,2375,28348,3822,398,2084,25096,15939,366767,1756,18234,3182,286,1601,16337,143117, 84195,122673,122528,168093,76852,141905, 98479,121085,121350,176886,116688,171798,130681,169008,119936,179329,117698,181311,114391,143947, 95515,121085,121350,175666,119879,2,0,110279,157520,0.4118,0.4122,0.1,0.3,0,0.2084
8,1,541391, 1,0.8297,429882,0.0013309046,0.9872,0.2562,21093,469426,1862,14598,3886,372,2418,27736,14341,379933,1348,10473,3161,293,1878,18455,140957, 97067,118646,137367,168856,87115,140655,109613,121433,137323,177249,135461,171741,149778,169221,139161,180059,136308,182812,132200,142279,107790,121433,137323,176216,138581,1,0,126139,157163,0.4452,0.4454,0.2,0.4,0,0.1586
8,2,542834, 1,0.8297,420241,0.0013309046,0.9872,0.3954,24106,431892,3215,49994,4191,467,1956,27013,15567,347620,2433,32244,3505,349,1448,17075,138280, 80639,117466,118563,163908,71853,136815, 95246,114528,116550,166350,109322,161428,122681,159323,111697,168259,110714,170124,107415,139116, 91576,114528,116550,165097,112366,1,0,104467,149648,0.4111,0.4115,0.2,0.4,0,0.1586
9,1,540796, 1,0.7857,428441,0.0024284627,0.9861,0.2303,20263,458316,1870,26232,3820,385,2326,27584,13809,371725,1365,18047,3117,303,1801,18274,139071, 97341,115856,137959,166644,87197,137822,110660,118750,137172,173140,133768,167137,148262,164861,137625,175662,135053,178148,130987,139849,108289,118750,137172,171790,137139,2,0,125602,153709,0.4497,0.4499,0.2,0.2,0,0.2548
9,2,543429, 1,0.7857,421682,0.0024284627,0.9861,0.4309,24936,443002,3207,38360,4257,454,2048,27165,16099,355828,2416,24670,3549,339,1525,17256,140166, 80365,120256,117971,166120,71770,139648, 94199,117211,116701,170459,111015,166032,124197,163683,113232,172656,111968,174787,108628,141547, 91078,117211,116701,169523,113808,2,0,105004,153101,0.4068,0.4071,0.0,0.2,0,0.2548
10,1,539524, 1,0.7941,427655,0.0047748392,0.9880,0.2767,20145,458295,1862,25058,3817,388,2337,27622,13761,371553,1364,17416,3116,306,1820,18319,138608, 97132,115657,137525,166134,87111,137432,110350,118529,136770,172957,133604,167047,148027,164719,137467,175495,134868,178043,130812,139459,108029,118529,136770,171652,136956,2,0,125366,153462,0.4496,0.4499,0.2,0.2,0,0.2550
10,2,544701, 1,0.7941,422468,0.0047748392,0.9880,0.4885,25054,443023,3215,39534,4260,451,2037,27127,16147,356000,2417,25301,3550,336,1506,17211,140629, 80573,120455,118405,166630,71857,140038, 94509,117432,117103,170642,111179,166122,124432,163824,113390,172824,112153,174892,108803,141937, 91338,117432,117103,169661,113992,2,0,105240,153348,0.4070,0.4072,0.0,0.2,0,0.2550
11,1,540135, 1,0.6847,426475,0.0036477668,0.9878,0.3445,20917,452365,2704,27624,4315,457,2442,29311,14245,366110,2041,19151,3544,366,1861,19157,135833, 94449,112999,134093,164184,83124,135524,106623,115858,132615,168142,129833,162830,143446,160908,132567,170578,130833,173300,126734,137135,104571,115858,132615,167152,132683,0,0,121432,150016,0.4473,0.4475,0.2,0.3,0,0.2084
11,2,544090, 1,0.6847,423648,0.0036477668,0.9878,0.3915,24282,448953,2373,36968,3762,382,1932,25438,15663,361443,1740,23566,3122,276,1465,16373,143404, 83257,123113,121837,168580,75843,141946, 98236,120104,121257,175456,114950,170339,129013,167636,118291,177740,116188,179635,112881,144260, 94795,120104,121257,174161,118265,0,0,109175,156795,0.4105,0.4108,0.1,0.3,0,0.2084
12,1,544624, 1,0.7786,430793,0.0046328022,0.9891,0.2725,20174,458469,1851,29718,3838,389,2298,27887,13737,371844,1354,20224,3134,307,1788,18405,138884, 98405,115599,139386,166638,88286,137516,112111,117962,138753,172271,134835,166172,149542,163874,138771,174851,136234,177309,132140,139660,109547,117962,138753,170896,138305,1,0,126846,153107,0.4531,0.4533,0.2,0.2,0,0.2544
12,2,539601, 1,0.7786,419330,0.0046328022,0.9891,0.4901,25025,442849,3226,34874,4239,450,2076,26862,16171,355709,2427,22493,3532,335,1538,17125,140353, 79300,120513,116544,166126,70682,139954, 92748,117999,115120,171328,109948,166997,122917,164670,112086,173468,110788,175626,107474,141736, 89820,117999,115120,170418,112642,1,0,103760,153703,0.4030,0.4033,0.0,0.2,0,0.2544
13,1,539843, 1,0.6548,425432,0.0041864004,0.9823,0.2404,20877,452636,2662,27088,4290,454,2469,29367,14234,365652,1987,18640,3522,366,1885,19146,137888, 93538,114880,133364,166918,81549,137694,105590,118015,131672,170828,128762,165703,142248,163767,131389,173319,129659,176073,125505,139346,103510,118015,131672,169938,131513,1,0,120328,152508,0.4410,0.4412,0.2,0.4,0,0.1586
13,2,544382, 1,0.6548,424691,0.0041864004,0.9823,0.2712,24322,448682,2415,37504,3787,385,1905,25382,15674,361901,1794,24077,3144,276,1441,16384,141350, 84167,121232,122566,165846,77419,139776, 99269,117946,122201,172771,116021,167466,130211,164777,119469,175000,117363,176862,114110,142050, 95857,117946,122201,171375,119435,1,0,110279,154302,0.4168,0.4171,0.2,0.4,0,0.1586
14,1,541904, 1,0.7181,430260,0.0003846065,0.9815,0.2325,21681,463697,2761,17537,4371,432,2503,28922,14810,375972,2084,12587,3595,345,1915,18952,135154, 97657,112090,138067,164023,86175,135039,110024,114674,136852,167591,133651,161727,147969,159683,137129,169855,134882,172578,130682,136577,107980,114674,136852,166287,136863,2,0,125309,149241,0.4564,0.4566,0.2,0.2,0,0.2564
14,2,542321, 1,0.7181,419863,0.0003846065,0.9815,0.2740,23518,437621,2316,47055,3706,407,1871,25827,15098,351581,1697,30130,3071,297,1411,16578,144083, 80049,124022,117863,168741,72793,142431, 94835,121287,117020,176008,111132,171442,124490,168861,113729,178464,112139,180357,108933,144819, 91387,121287,117020,175026,114085,2,0,105297,157569,0.4006,0.4009,0.0,0.2,0,0.2564
15,1,543878, 1,0.7828,430148,0.0032567041,0.9826,0.1531,20421,455321,1861,31900,3842,385,2302,27846,13909,369585,1364,21672,3130,306,1793,18389,137717, 98666,114754,139233,165175,88812,136311,112326,117053,139019,170883,135265,164777,149921,162545,139112,173417,136645,175902,132593,138490,109759,117053,139019,169505,138707,1,0,127159,151853,0.4557,0.4560,0.2,0.2,0,0.2547
15,2,540347, 1,0.7828,419975,0.0032567041,0.9826,0.3349,24778,445997,3216,32692,4235,454,2072,26903,15999,357968,2417,21045,3536,336,1533,17141,141520, 79040,121358,116698,167589,70156,141159, 92533,118908,114853,172716,109518,168392,122538,165999,111746,174902,110377,177033,107022,142906, 89608,118908,114853,171808,112240,1,0,103448,154957,0.4003,0.4006,0.0,0.2,0,0.2547
16,1,541267, 1,0.7621,427638,0.0015596394,0.9880,0.2921,20035,455312,1856,29731,3801,383,2275,27874,13615,368922,1355,20235,3111,301,1755,18344,137338, 97636,114112,138436,164997,87535,135843,111428,116582,137683,170472,133666,164390,148278,162149,137579,173012,135068,175458,131007,138074,108759,116582,137683,169097,137120,1,0,125831,151435,0.4538,0.4541,0.2,0.2,0,0.2553
16,2,542958, 1,0.7621,422485,0.0015596394,0.9880,0.3456,25164,446006,3221,34861,4276,456,2099,26875,16293,358631,2426,22482,3555,341,1571,17186,141899, 80070,122000,117494,167767,71433,141627, 93430,119379,116190,173127,111117,168779,124181,166394,113278,175306,111954,177477,108608,143322, 90608,119379,116190,172217,113827,1,0,104775,155375,0.4027,0.4030,0.0,0.2,0,0.2553
17,1,542254, 1,0.9600,433611,0.0002610159,0.9859,0.2397,21904,469961,1949,14026,4447,388,2446,27133,15235,382779,1442,10045,3660,298,1907,18245,135029,100551,116256,137446,160863,92359,137400,109880,117138,140471,170561,142536,166129,156066,163940,144671,174182,141966,176431,138595,137388,110059,117138,140471,170249,144767,2,1,130454,151793,0.4622,0.4620,0.2,0.2,0,0.2544
17,2,541971, 1,0.9600,416512,0.0002610159,0.9859,0.4388,23295,431357,3128,50566,3630,451,1928,27616,14673,344774,2339,32672,3006,344,1419,17285,144208, 77155,119855,118484,171901,66609,140070, 94979,118823,113402,173037,102247,167040,116393,164604,106187,174136,105056,176505,101020,144008, 89308,118823,113402,171064,106181,2,1,100153,155018,0.3925,0.3932,0.0,0.2,0,0.2544
18,1,543718, 1,0.6682,430996,0.0029615624,0.9853,0.1831,21263,465451,2705,17635,4306,433,2509,29416,14503,376822,2032,12588,3523,351,1919,19258,140649, 93850,117269,134459,169839,82166,140411,106222,120560,132879,174882,129849,169583,143525,167395,132768,177331,130842,180295,126470,142043,104173,120560,132879,173898,132691,0,0,121303,155821,0.4377,0.4379,0.2,0.4,0,0.1586
18,2,540507, 1,0.6682,419127,0.0029615624,0.9853,0.3220,23936,435867,2372,46957,3771,406,1865,25333,15405,350731,1749,30129,3143,291,1407,16272,138588, 83856,118843,121472,162925,76802,137059, 98637,115401,120993,168716,114934,163586,128934,161148,118089,170988,116180,172640,113145,139353, 95193,115401,120993,167416,118256,0,0,109303,150989,0.4199,0.4202,0.2,0.4,0,0.1586
19,1,544739, 1,0.7749,437065,0.0048449353,0.9782,0.1541,22483,471183,2056,14523,4403,363,2394,27334,15635,385287,1548,10336,3654,293,1885,18427,134023,107017,113633,147730,163402,97071,135312,118967,115084,149194,168024,149735,162936,164327,160684,153055,170887,150484,174171,146012,136594,117697,115084,149194,167340,152723,2,0,138359,149815,0.4801,0.4800,0.3,0.3,0,0.1975
19,2,539486, 1,0.7749,413058,0.0048449353,0.9782,0.3348,22716,430135,3021,50069,3674,476,1980,27415,14273,342266,2233,32381,3012,349,1441,17103,145214, 70689,122479,108200,169361,61897,142158, 85891,120877,104679,175575, 95048,170233,108132,167860, 97802,177432, 96537,178764, 93603,144802, 81670,120877,104679,173973, 98224,2,0, 92247,156995,0.3701,0.3709,0.0,0.3,0,0.1975
20,1,540428, 1,0.5764,422202,0.0031072886,0.9780,0.3437,20168,439118,2664,42550,4051,411,2228,29238,13625,353988,1991,28422,3316,325,1680,18855,141980, 85692,119571,123480,165956,77308,139888, 98615,119332,122764,172420,116749,166976,129954,164959,119346,174472,117655,175963,114555,141849, 96274,119332,122764,170958,119652,2,0,110612,154152,0.4178,0.4181,0.2,0.4,0,0.1586
20,2,543797, 1,0.5764,427921,0.0031072886,0.9780,0.1939,25031,462200,2413,22042,4026,428,2146,25511,16283,373565,1790,14295,3350,317,1646,16675,137257, 92014,116541,132450,166808,81659,137582,106243,116629,131108,171179,128034,166193,142505,163585,131512,173846,129367,176972,125060,139546,103093,116629,131108,170355,131296,2,0,119994,152659,0.4401,0.4403,0.2,0.4,0,0.1586
21,1,544445, 1,0.8060,431317,0.0043026125,0.9902,0.2696,20478,462764,1864,24811,3852,393,2361,27922,13942,375005,1361,17221,3138,311,1840,18499,140216, 97785,117096,138501,167802,87866,139075,111064,120061,137787,175182,134647,169232,149202,166899,138537,177741,135919,180329,131811,141048,108804,120061,137787,173877,138023,1,0,126312,155363,0.4484,0.4487,0.2,0.3,0,0.2066
21,2,539780, 1,0.8060,418806,0.0043026125,0.9902,0.5733,24721,438554,3213,39781,4225,446,2013,26827,15966,352548,2420,25496,3528,331,1486,17031,139021, 79921,119016,117429,164962,71101,138395, 93795,115900,116085,168417,110136,163937,123257,161645,112321,170578,111103,172606,107804,140347, 90563,115900,116085,167437,112924,1,0,104295,151447,0.4078,0.4081,0.1,0.3,0,0.2066
22,1,542469, 1,0.6652,428052,0.0006576126,0.9867,0.3154,20937,454825,2682,27216,4290,454,2453,29612,14257,367916,2011,18759,3524,363,1884,19338,138445, 94237,115581,134012,167214,82684,138182,106408,118636,132580,172008,129864,166848,143409,164807,132625,174519,130815,177409,126568,139856,104335,118636,132580,171118,132656,1,0,121320,153364,0.4417,0.4419,0.2,0.4,0,0.1586
22,2,541756, 1,0.6652,422071,0.0006576126,0.9867,0.3266,24262,446493,2395,37376,3787,385,1921,25137,15651,359637,1770,23958,3142,279,1442,16192,140792, 83469,120531,121918,165550,76283,139288, 98450,117325,121293,171590,114919,166322,129050,163736,118232,173800,116207,175527,113047,141540, 95032,117325,121293,170195,118291,1,0,109286,153446,0.4160,0.4163,0.2,0.4,0,0.1586
23,1,539986, 1,0.9718,432029,0.0039226175,0.9878,0.2207,22219,467609,1959,13974,4443,395,2456,26931,15482,381097,1450,10011,3660,303,1917,18109,133863, 99512,115234,135998,159036,91784,136361,108478,116057,139156,169200,141606,164789,155059,162647,143609,172801,140951,174972,137694,136124,108943,116057,139156,168882,143784,1,0,129385,150496,0.4623,0.4621,0.2,0.2,0,0.2554
23,2,544239, 1,0.9718,418094,0.0039226175,0.9878,0.4722,22980,433709,3118,50618,3634,444,1918,27818,14426,346456,2331,32706,3006,339,1409,17421,145374, 78194,120878,119932,173728,67183,141109, 96380,119904,114716,174399,103177,168380,117400,165897,107248,175518,106070,177963,101921,145271, 90424,119904,114716,172431,107164,1,0,101222,156315,0.3930,0.3937,0.0,0.2,0,0.2554
24,1,543195, 1,0.8005,429983,0.0019968180,0.9807,0.1674,21597,456332,2627,26959,4161,454,2468,28597,14772,370196,1975,18620,3425,357,1915,18723,137476, 94684,114728,133982,163276,85687,137704,106072,116719,133035,170166,129517,164279,143745,162451,132492,172528,130541,174713,126882,138296,105106,116719,133035,168827,132636,2,0,121664,151404,0.4455,0.4458,0.2,0.4,0,0.1586
24,2,541030, 1,0.8005,420140,0.0019968180,0.9807,0.3538,23602,444986,2450,37633,3916,385,1906,26152,15136,357357,1806,24097,3241,285,1411,16807,141761, 83021,121384,121948,169488,73280,139766, 98787,119242,120837,173433,115266,168890,128714,166092,118365,175791,116481,178222,112733,143099, 94261,119242,120837,172486,118312,2,0,108943,155407,0.4121,0.4124,0.2,0.4,0,0.1586
25,1,542311, 1,0.5655,425014,0.0003661602,0.9815,0.2639,20396,446325,2706,36235,4228,428,2263,29730,13870,359899,2024,24475,3469,347,1706,19224,136251, 92696,113434,132802,164728,81478,135407,105878,114913,131628,167298,126878,161975,140510,159997,129841,169312,128346,172256,124024,137455,103214,114913,131628,166168,129920,1,0,119408,149557,0.4440,0.4441,0.2,0.4,0,0.1586
25,2,541914, 1,0.5655,425109,0.0003661602,0.9815,0.2061,24803,454993,2371,28357,3849,411,2111,25019,16038,367654,1757,18242,3197,295,1620,16306,142986, 85010,122677,123128,168036,77490,142063, 98981,121048,122245,176301,117905,171194,131949,168546,121017,179007,118676,180680,115591,143940, 96153,121048,122245,175146,121027,1,0,111199,157253,0.4142,0.4145,0.2,0.4,0,0.1586
26,1,539937, 1,0.7829,432300,0.0040130047,0.9812,0.2023,22332,465941,2059,15356,4409,376,2388,27076,15520,380278,1555,10888,3657,297,1892,18213,130748,106745,110852,147147,160414,96547,132371,118661,112366,149049,164708,149705,159605,164307,157551,152975,167388,150575,170872,145824,133598,117275,112366,149049,164025,152677,1,0,138153,146687,0.4850,0.4848,0.3,0.3,0,0.1993
26,2,544288, 1,0.7829,417823,0.0040130047,0.9812,0.3299,22867,435377,3018,49236,3668,463,1986,27673,14388,347275,2226,31829,3009,345,1434,17317,148489, 70961,125260,108783,172350,62421,145099, 86198,123595,104824,178891, 95078,173564,108152,170993, 97883,180930, 96447,182064, 93791,147798, 82092,123595,104824,177288, 98270,1,0, 92453,160123,0.3660,0.3668,0.0,0.3,0,0.1993
27,1,541601, 1,0.7814,429288,0.0009435311,0.9886,0.2952,20121,460052,1894,25244,3808,388,2333,27761,13728,372992,1386,17533,3110,305,1808,18426,139449, 97261,116164,137974,167060,87144,138156,110632,119158,136964,173875,133484,167865,147950,165552,137356,176331,134791,178861,130728,140208,108253,119158,136964,172497,136862,1,0,125428,154247,0.4485,0.4488,0.2,0.3,0,0.2069
27,2,542624, 1,0.7814,420835,0.0009435311,0.9886,0.5001,25078,441266,3183,39348,4269,451,2041,26988,16180,354561,2395,25184,3556,337,1518,17104,139788, 80444,119948,117956,165704,71824,139314, 94227,116803,116908,169724,111299,165305,124509,162992,113501,171988,112230,174074,108886,141188, 91114,116803,116908,168817,114085,1,0,105178,152563,0.4081,0.4083,0.1,0.3,0,0.2069
28,1,540264, 1,0.6846,424465,0.0034098088,0.9842,0.2937,20485,445685,2597,35596,4087,445,2397,28972,13919,360132,1964,24084,3358,354,1846,18808,138079, 89804,114705,129396,164172,80226,137486,101963,117248,128252,170326,123720,164834,137332,163091,126148,172741,124584,174883,120974,138611,100347,117248,128252,169176,126552,1,0,116240,151756,0.4337,0.4340,0.2,0.4,0,0.1586
28,2,543961, 1,0.6846,425658,0.0034098088,0.9842,0.3049,24714,455633,2480,28996,3990,394,1977,25777,15989,367421,1817,18633,3308,288,1480,16722,141158, 87902,121407,126534,168592,78742,139984,102896,118714,125621,173272,121063,168335,135127,165452,124709,175578,122437,178052,118641,142785, 99020,118714,125621,172138,124396,1,0,114367,155054,0.4245,0.4247,0.2,0.4,0,0.1586
29,1,541323, 1,0.7654,427217,0.0014563398,0.9842,0.1563,20102,451591,1833,33533,3822,377,2280,27785,13655,366099,1345,22648,3118,298,1764,18290,136589, 97992,113996,138186,164134,87995,135179,111736,115838,138205,169072,134127,162952,148718,160839,137945,171573,135532,173971,131507,137475,108977,115838,138205,167681,137566,1,0,126194,150414,0.4562,0.4564,0.2,0.2,0,0.2555
29,2,542902, 1,0.7654,422906,0.0014563398,0.9842,0.2987,25097,449727,3244,31059,4255,462,2094,26964,16253,361454,2436,20069,3548,344,1562,17240,142648, 79714,122116,117745,168630,70972,142291, 93122,120124,115668,174526,110656,170217,123741,167705,112912,176746,111489,178965,108108,143920, 90390,120124,115668,173632,113381,1,0,104412,156396,0.4003,0.4006,0.0,0.2,0,0.2555
30,1,540141, 1,0.7925,428513,0.0036366990,0.9889,0.2850,20385,459010,1871,24758,3783,392,2329,27613,13928,372538,1356,17134,3089,307,1821,18340,138750, 97706,115747,138173,166314,87668,137666,110842,118585,137406,173194,134410,167295,148806,164977,138234,175726,135616,178321,131529,139620,108597,118585,137406,171903,137719,2,0,126039,153657,0.4506,0.4509,0.2,0.2,0,0.2547
30,2,544084, 1,0.7925,421610,0.0036366990,0.9889,0.5034,24814,442308,3206,39834,4294,447,2045,27136,15980,355015,2425,25583,3577,335,1505,17190,140487, 80000,120365,117757,166450,71299,139804, 94017,117376,116466,170405,110373,165874,123653,163566,112623,172592,111406,174615,108086,141776, 90770,117376,116466,169411,113228,2,0,104567,153153,0.4057,0.4060,0.0,0.2,0,0.2547
31,1,540727, 1,0.6617,426716,0.0025557426,0.9831,0.2205,20922,453986,2685,26379,4279,446,2477,29553,14244,367152,2016,18241,3518,357,1900,19288,138029, 94008,115240,133726,166844,82428,137855,106116,118394,132258,171702,129569,166604,143033,164465,132369,174195,130520,177054,126300,139493,104069,118394,132258,170804,132358,0,0,121033,153038,0.4416,0.4418,0.2,0.4,0,0.1586
31,2,543498, 1,0.6617,423407,0.0025557426,0.9831,0.2657,24277,447332,2392,38213,3798,393,1897,25196,15664,360401,1765,24476,3148,285,1426,16242,141208, 83698,120872,122204,165920,76539,139615, 98743,117567,121615,171897,115214,166565,129426,164079,118488,174123,116502,175882,113315,141903, 95298,117567,121615,170509,118589,0,0,109573,153772,0.4161,0.4164,0.2,0.4,0,0.1586
32,1,541101, 1,0.8330,429280,0.0018658489,0.9913,0.2668,21445,468752,1869,14592,3895,378,2422,27748,14558,379122,1353,10481,3170,299,1883,18414,140469, 95984,118203,136140,168108,86262,140101,108532,121046,136089,177042,134251,171498,148586,168932,138007,179800,135181,182572,131061,141721,106730,121046,136089,175969,137417,1,0,125009,156777,0.4436,0.4438,0.2,0.4,0,0.1586
32,2,543124, 1,0.8330,420843,0.0018658489,0.9913,0.5161,23754,432566,3208,50000,4182,461,1952,27001,15350,348431,2428,32236,3496,343,1443,17116,138768, 81722,117909,119790,164656,72706,137369, 96327,114915,117783,166557,110532,161671,123873,159612,112851,168518,111840,170363,108554,139675, 92637,114915,117783,165344,113530,1,0,105597,150033,0.4131,0.4134,0.2,0.4,0,0.1586
33,1,543393, 1,0.9687,435361,0.0023620558,0.9889,0.2005,22364,470737,1995,13956,4493,395,2452,27001,15601,384148,1485, 9981,3709,303,1924,18210,134144,101542,115519,138218,159273,93959,136840,110370,116336,141685,169032,144767,164614,158327,162553,146683,172820,143975,174888,140788,136445,111022,116336,141685,168782,146908,1,0,132031,150602,0.4671,0.4669,0.2,0.2,0,0.2543
33,2,540832, 1,0.9687,414762,0.0023620558,0.9889,0.4943,22835,430581,3082,50636,3584,444,1922,27748,14307,343405,2296,32736,2957,339,1402,17320,145094, 76164,120592,117712,173491,65009,140630, 94489,119625,112187,174566,100016,168555,114132,165991,104174,175499,103046,178047, 98827,144951, 88345,119625,112187,172532,104039,1,0, 98575,156209,0.3869,0.3877,0.0,0.2,0,0.2543
34,1,543291, 1,0.9942,433253,0.0021739030,0.9875,0.2110,22224,461653,1959,22932,4455,411,2424,27233,15469,376337,1449,15840,3675,312,1895,18276,131944,101393,113631,137572,156906,93843,134503,110314,114132,140886,166376,143546,161878,157145,159879,145517,169999,142965,172053,139812,134247,110780,114132,140886,166037,145797,1,0,131299,148130,0.4699,0.4697,0.2,0.2,0,0.2555
